org_name,final_grade,n,cik,evidence
"IES Communications, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"IMA Financial Group, Inc.",VERIFIED,3,1673769.0,"EDGAR name: IMA FINANCIAL GROUP, INC."
Impact Mobile Home Communities,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Indian Industries, Inc. d/b/a RAVE Sports",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
InterActive Financial Marketing Group,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
International Paper Company,VERIFIED,1,1283246.0,EDGAR name: INTERNATIONAL PAPER CO
Intuit,VERIFIED,23,896878.0,EDGAR name: INTUIT INC
Intuit Inc,VERIFIED,18,896878.0,EDGAR name: INTUIT INC
Intuit Inc.,VERIFIED,41,896878.0,EDGAR name: INTUIT INC
"Intuit, Inc.",VERIFIED,16,896878.0,EDGAR name: INTUIT INC
J&M Brown Company Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"J.B. Hunt Transport, Inc.",VERIFIED,4,1501362.0,"EDGAR name: J.B. HUNT TRANSPORT, INC."
"Jet Industries, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Johnson Engineering,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Johnson Matthey, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Johnson Oâ€™Hare Company, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Johnson, Lauder & Savidge, LLP",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
KeraLink International,VERIFIED,1,1826210.0,"EDGAR name: KERALINK INTERNATIONAL, INC."
"King Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"LC Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
LCS Financial Services,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
LPL Financial LLC,VERIFIED-GATE1,1,1397911.0,Gate1-C: LPL Financial Holdings post-11/2010 IPO; legacy PNC was placeholder error
"LX/JT Intermediate Holdings, Inc. d/b/a Bevolution Group",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Lavelle Industries Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Lawrence Semiconductor Research Laboratory,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Leidos, Inc.",VERIFIED,1,353394.0,"EDGAR name: LEIDOS, INC."
Lennar Corporation,VERIFIED,1,58696.0,EDGAR name: LENNAR CORP
"Livingston Street Capital, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
MD2 International,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
MGM Resorts International,VERIFIED,2,789570.0,EDGAR name: MGM GRAND INC
MNP Corporation,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
MSX International Inc.,EXCLUDED-PRIVATE,3,,Gate1-D: PE-owned; legacy AIG was noise
"MW Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Marathon Petroleum Company LP,VERIFIED,2,1510295.0,EDGAR name: MARATHON PETROLEUM CORP
"Mark Dunning Industries, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Marking Services, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Marriott International, Inc.",VERIFIED,1,905036.0,EDGAR name: MARRIOTT INTERNATIONAL INC
"Marsh & McLennan Companies, Inc.",VERIFIED,1,62709.0,EDGAR name: MARSH & MCLENNAN COMPANIES INC
Martin Showers Smith & McDonald LLP,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Mead Johnson & Company, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Mediacom Communications Corporation,VERIFIED,1,1098659.0,EDGAR name: MEDIACOM COMMUNICATIONS CORP
Mediant Communications Inc.,VERIFIED,3,1567336.0,EDGAR name: MEDIANT COMMUNICATIONS INC.
"Medical Healthcare Solutions, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Merlin Information Services,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Microsoft Corporation,VERIFIED,4,789019.0,EDGAR name: MICROSOFT CORP
"Morgan Brown & Joy, LLP",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Morgan Industrial, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Morgan Industrial, Inc. dba Omega Morgan",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Morgan Truck Body, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Motorola Mobility Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Motorola Mobility, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Motorola, Inc.",VERIFIED,2,68505.0,EDGAR name: MOTOROLA INC
NBC Sports Group,VERIFIED-GATE1,3,1166691.0,Gate1-E: identity=Comcast equity; treatment classification independent (clause rules at Stage 4)
NBCUniversal,VERIFIED,1,1512267.0,"EDGAR name: NBCUNIVERSAL, LLC"
NCH Corporation,VERIFIED,5,69960.0,EDGAR name: NCH CORP
"NCO Financial Systems, Inc.",VERIFIED,1,1396897.0,"EDGAR name: NCO FINANCIAL SYSTEMS, INC."
NSi Industries LLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"NVR Settlement Services of Maryland, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"National Presto Industries, Inc.",VERIFIED,1,80172.0,EDGAR name: NATIONAL PRESTO INDUSTRIES INC
"Newcourse Communications, Inc.",EXCLUDED-UNRESOLVED,11,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"NextGen Healthcare, Inc.",VERIFIED,2,708818.0,"EDGAR name: NEXTGEN HEALTHCARE, INC."
Nokia Inc.,VERIFIED,1,924613.0,EDGAR name: NOKIA CORP
"Nokia Networks and Solutions US, LLC",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Northrop Grumman Systems Corporation,VERIFIED,1,72945.0,EDGAR name: NORTHROP CORP
Nuance Communications Inc,VERIFIED-GATE1,1,789019.0,"Gate1-B: Microsoft subsidiary, parent-mapped"
"Nuance Communications, Inc.",VERIFIED-GATE1,5,789019.0,"Gate1-B: Microsoft subsidiary, parent-mapped"
Nucor Corporation,VERIFIED,5,73309.0,EDGAR name: NUCOR CORP
"Oceaneering International, Inc.",VERIFIED,1,73756.0,EDGAR name: OCEANEERING INTERNATIONAL INC
Okta Inc,VERIFIED,1,1660134.0,"EDGAR name: OKTA, INC."
"Okta, Inc",VERIFIED,1,1660134.0,"EDGAR name: OKTA, INC."
"Okta, Inc.",VERIFIED,5,1660134.0,"EDGAR name: OKTA, INC."
"On Q Financial, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Oracle Corporation,VERIFIED-GATE1,2,1341439.0,Gate1-A (ORCL 2005 holdco)
"Oracle USA, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Orbus Visual Communications, LLC",EXCLUDED-UNRESOLVED,3,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
PACCAR,VERIFIED,1,75362.0,EDGAR name: PACCAR INC
PNC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
PULAU Corporation,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Pallet Logistics of America,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Paramount,VERIFIED-GATE1,3,813828.0,"Gate1-G: Paramount Global pre-Skydance close (PARA delisted from current ticker file; EDGAR-name fallback documented, CyrusOne class)"
Paramount Global,VERIFIED-GATE1,1,813828.0,"Gate1-G: Paramount Global pre-Skydance close (PARA delisted from current ticker file; EDGAR-name fallback documented, CyrusOne class)"
Parker-Hannifin Corporation,VERIFIED,3,76334.0,EDGAR name: PARKER HANNIFIN CORP
PayPal Inc.,VERIFIED,1,1103415.0,EDGAR name: PAYPAL INC
"PayPal, Inc.",VERIFIED,3,1103415.0,EDGAR name: PAYPAL INC
"Paycom Payroll, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Paysafe Group Holdings Limited,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Pendrick Capital Partner Holdings, LLC",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"PepsiCo, Inc.",VERIFIED,1,77476.0,EDGAR name: PEPSICO INC
"Perry Johnson & Associates, Inc.",EXCLUDED-UNRESOLVED,5,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Perry Johnson, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Pfizer Inc,VERIFIED,1,78003.0,EDGAR name: PFIZER INC
Polaris Industries Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Prime Communications,VERIFIED,2,1570434.0,EDGAR name: PRIME COMMUNICATIONS INC
"Professional Compounding Centers of America, Inc.",VERIFIED,1,1558044.0,"EDGAR name: PROFESSIONAL COMPOUNDING CENTERS OF AMERICA, INC."
Professional Golfers' Association of America,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Regeneron Pharmaceuticals, Inc.",VERIFIED,1,872589.0,EDGAR name: REGENERON PHARMACEUTICALS INC
Republic Services,VERIFIED,3,1060391.0,EDGAR name: REPUBLIC SERVICES INC
"Republic Services, Inc",VERIFIED,1,1060391.0,EDGAR name: REPUBLIC SERVICES INC
"Republic Services, Inc.",VERIFIED,3,1060391.0,EDGAR name: REPUBLIC SERVICES INC
"Robinson Waters & O'Dorisio, P.C.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Rochester Industries Placement, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Roku Inc,VERIFIED-GATE1,1,1428439.0,Gate1-A (ROKU)
Roku Inc.,VERIFIED-GATE1,1,1428439.0,Gate1-A (ROKU)
"Roku, Inc.",VERIFIED-GATE1,2,1428439.0,Gate1-A (ROKU)
"S&G Financial, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
SAE International,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
SCM Group,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
SOS International,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"SP Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
SRI International,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"STG International, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"SVAM International, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Salesforce.com,VERIFIED,1,1108524.0,EDGAR name: SALESFORCE COM INC
Seagate Technology LLC,VERIFIED-GATE1,1,1137789.0,Gate1-A (STX)
Seagate US LLC,VERIFIED,3,1137785.0,EDGAR name: SEAGATE US LLC
"Seim Johnson, LLP",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
ServiceNow Inc.,VERIFIED,1,1373715.0,EDGAR name: SERVICE-NOW.COM
Shawmut Communications Group,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sierra Pacific Industries,VERIFIED,2,90143.0,EDGAR name: SIERRA PACIFIC INDUSTRIES
"Sinclair Broadcast Group, Inc",VERIFIED,1,912752.0,EDGAR name: SINCLAIR BROADCAST GROUP INC
"Sinclair Broadcast Group, Inc.",VERIFIED,4,912752.0,EDGAR name: SINCLAIR BROADCAST GROUP INC
Sirius XM Radio Inc,VERIFIED-GATE1,3,908937.0,Gate1-A (SIRI continuous registrant)
Sirius XM Radio Inc.,VERIFIED-GATE1,12,908937.0,Gate1-A (SIRI continuous registrant)
"Sirius XM Radio, Inc.",VERIFIED-GATE1,3,908937.0,Gate1-A (SIRI continuous registrant)
Sirius XM Satellite Radio,VERIFIED-GATE1,1,908937.0,Gate1-A (SIRI continuous registrant)
Snap Inc.,VERIFIED-GATE1,1,1564408.0,Gate1-A (SNAP)
Snap-on Incorporated,VERIFIED,3,91440.0,EDGAR name: SNAP ON INC
"Snap-on, Inc.",VERIFIED,1,91440.0,EDGAR name: SNAP ON INC
Snowflake Inc.,VERIFIED,2,1640147.0,"EDGAR name: SNOWFLAKE COMPUTING, INC."
Sony Card Marketing & Services Company,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Corporation of America,VERIFIED,1,1091411.0,EDGAR name: SONY CORP OF AMERICA
Sony Electronics Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Interactive Entertainment,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Interactive Entertainment LLC,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Sony Interactive Entertainment, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Network Entertainment America Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Online Entertainment,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Online Entertainment LLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Pictures,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Pictures Entertainment Inc,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sony Pictures Entertainment Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Sony Pictures Entertainment, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sorenson Communications,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Southwest Airlines Co.,VERIFIED,2,92380.0,EDGAR name: SOUTHWEST AIRLINES CO
Southwest Binding & Laminating,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Spotify USA Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sprint,VERIFIED-GATE1,7,101830.0,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)"
Sprint Business,VERIFIED-GATE1,1,101830.0,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)"
Sprint Corporation,VERIFIED-GATE1,8,101830.0,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)"
Sprint Nextel,VERIFIED-GATE1,2,101830.0,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)"
"Student Transportation of America, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Suddenlink Communications,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Sumner Communications, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Superior Communications, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"SupraNet Communications, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Synergy Healthcare Services,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"SysInformation Healthcare Services, LLC",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Sysco Corporation,VERIFIED,2,96021.0,EDGAR name: SYSCO CORP
T-Mobile,VERIFIED-GATE1,13,1283699.0,Gate1-C: TMUS public parent
"T-Mobile US, Inc.",VERIFIED-GATE1,3,1283699.0,Gate1-C: TMUS public parent
T-Mobile USA,VERIFIED-GATE1,10,1283699.0,Gate1-C: TMUS public parent
T-Mobile USA Inc,VERIFIED-GATE1,2,1283699.0,Gate1-C: TMUS public parent
T-Mobile USA Inc.,VERIFIED-GATE1,4,1283699.0,Gate1-C: TMUS public parent | NOTE: pre-5/2013 no US public equity — will fail CRSP naturally
"T-Mobile USA, Inc.",VERIFIED-GATE1,19,1283699.0,Gate1-C: TMUS public parent | NOTE: pre-5/2013 no US public equity — will fail CRSP naturally
"T-Mobile, USA",VERIFIED-GATE1,1,1283699.0,Gate1-C: TMUS public parent
"T. Rowe Price Retirement Plan Services, Inc.",VERIFIED,2,1387793.0,"EDGAR name: T. ROWE PRICE RETIREMENT PLAN SERVICES, INC."
"T.R.A. Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
TALX Corporation,VERIFIED,6,917524.0,EDGAR name: TALX CORP
"TDC Financial, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Tedder Industries, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
The Boeing Company,VERIFIED,1,12927.0,EDGAR name: BOEING CO
The Delta Companies,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
The EstÃ©e Lauder Companies Inc.,VERIFIED-GATE1,3,1001250.0,Gate1-G rescue: text-encoding artifact defeated matching; legacy 1001250 was correct (ticker EL -> CIK 1001250)
The Hershey Company,VERIFIED,1,47111.0,EDGAR name: HERSHEY CO
The Home Depot,VERIFIED,1,354950.0,EDGAR name: HOME DEPOT INC
The J.M. Smucker Company,VERIFIED-GATE1,1,91419.0,Gate1-A (SJM)
"The Mosaic Tile Company of Virginia, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
The Walt Disney Company,VERIFIED-GATE1,1,926480.0,Gate1-B: pre-2019-reorg registrant
"The iRemedy Healthcare Companies, Inc.",VERIFIED,1,1691249.0,"EDGAR name: IREMEDY HEALTHCARE COMPANIES, INC."
Time Warner Inc.,VERIFIED-GATE1,4,1105705.0,Gate1-B: TWX registrant 2009-6/2018
TimeWarner,VERIFIED-GATE1,1,1105705.0,Gate1-B: TWX registrant 2009-6/2018
Tri Delta,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Truly Nolen of America, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Twilio,VERIFIED,2,1447669.0,EDGAR name: TWILIO INC
"Twitter, Inc.",VERIFIED,1,1418091.0,EDGAR name: TWITTER INC
"Tyler Technologies, Inc.",VERIFIED,1,860731.0,EDGAR name: TYLER CORP /NEW/
"US Claims Capital, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"USA Waste-Management Resources, LLC",VERIFIED-GATE1,6,823768.0,Gate1-G rescue: Waste Management family (public-record verified: 1/2021 WMR+WM employee-breach litigation)
Uber,VERIFIED,2,1431473.0,EDGAR name: UBER INC
Uber Technologies,VERIFIED,1,1543151.0,"EDGAR name: UBER TECHNOLOGIES, INC"
Uber Technologies Inc,VERIFIED,2,1543151.0,"EDGAR name: UBER TECHNOLOGIES, INC"
Uber Technologies Inc.,VERIFIED,2,1543151.0,"EDGAR name: UBER TECHNOLOGIES, INC"
"Uber Technologies, Inc.",VERIFIED,23,1543151.0,"EDGAR name: UBER TECHNOLOGIES, INC"
United Airlines,VERIFIED,1,319687.0,EDGAR name: CONTINENTAL AIRLINES INC /DE/
"VMware, Inc.",VERIFIED,1,1124610.0,EDGAR name: VMWARE LLC
Vance Street Capital,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Verizon,VERIFIED-REASONING,7,732712.0,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed
Verizon Communications,VERIFIED,1,732712.0,EDGAR name: BELL ATLANTIC CORP
Verizon Communications Inc,VERIFIED,1,732712.0,EDGAR name: BELL ATLANTIC CORP
Verizon Communications Inc.,VERIFIED,6,732712.0,EDGAR name: BELL ATLANTIC CORP
Verizon Corporate Services Group Inc.,VERIFIED-GATE1,1,732712.0,Gate1-E: operating subsidiary
Verizon Media,VERIFIED-GATE1,2,732712.0,Gate1-E: Verizon ownership window 7/2017-8/2021
Vmware Inc,VERIFIED,1,1124610.0,EDGAR name: VMWARE LLC
"Volkswagen Group of America, Inc.",VERIFIED,1,1834695.0,"EDGAR name: VOLKSWAGEN GROUP OF AMERICA, INC."
Vulcan Industries,VERIFIED,1,1260451.0,EDGAR name: VULCAN INDUSTRIES INC
W.W. Grainger Inc.,VERIFIED-GATE1,1,277135.0,Gate1-A (GWW)
"W.W. Grainger, Inc.",VERIFIED-GATE1,2,277135.0,Gate1-A (GWW)
WERCS d/b/a Wyoming Financial Group,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"WM Waste Management, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Wabtec Corporation,VERIFIED,2,943452.0,EDGAR name: WABTEC CORP
"Warn Industries, Inc.",VERIFIED,1,1984463.0,"EDGAR name: WARN INDUSTRIES, INC."
Warner Bros. Distributing Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Warner Music Group,EXCLUDED-PRIVATE-WINDOW,3,,Gate1-B: Access Industries private window 2011-2020
Warner Music Group,VERIFIED-GATE1,2,1319161.0,Gate1-B: WMG public window
Warner Music Group Corp,EXCLUDED-PRIVATE-WINDOW,1,,Gate1-B: Access Industries private window 2011-2020
"Warner Music, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Western Union Financial Services, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Wiedenbach Brown,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
WillScot Mobile Mini Holdings Corp.,VERIFIED,1,1647088.0,EDGAR name: DOUBLE EAGLE ACQUISITION CORP.
"Window to the World Communications, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Woodward Communications, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Workday Inc.,VERIFIED,1,1327811.0,EDGAR name: NORTH TAHOE POWER TOOLS INC
"Worthen Industries, Inc.",EXCLUDED-UNRESOLVED,3,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Xerox Corporation,VERIFIED,1,108772.0,EDGAR name: XEROX CORP
