org_name,normalized,candidates
"Ensinger Industries, Inc.",ENSINGER INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Ensinger Industries, Inc.",ENSINGER INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Entercom Communications Corp.,ENTERCOM COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"Equifax, Inc.",EQUIFAX,None
"Essex Property Trust, Inc.",ESSEX PROPERTY TRUST,"Muller Property Tax Advisors, Inc. (overlap=1); Essex Communications (overlap=1); Infinity Communications Group Trust (overlap=1)"
Evening Post Industries,EVENING POST INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Evening Telegram Company d/b/a Morgan Murphy Media,EVENING TELEGRAM COMPANY D/B/A MORGAN MURPHY MEDIA,Farmers Telephone Company (IA) (overlap=1); United States Cellular Operating Company of Des Moines (overlap=1); Ohio State Cellular Phone Company (for Roanoke) (overlap=1)
Facebook,FACEBOOK,None
Facebook,FACEBOOK,None
Facebook,FACEBOOK,None
"Facebook, Inc.",FACEBOOK,None
"FedEx Ground Package System, Inc.",FEDEX GROUND PACKAGE SYSTEM,"Pine Telephone System, Inc. (overlap=1); Pine Telephone System, Inc. (overlap=1); Pine Telephone System, Inc. (overlap=1)"
Festo Corporation,FESTO,None
Festo Corporation,FESTO,None
FGX International Inc.,FGX INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
Fidelity National Technology Imaging (FNTI),FIDELITY NATIONAL TECHNOLOGY IMAGING (FNTI),Fidelity Tel. Co. (overlap=1); Fidelity Telephone Company (overlap=1); Fidelity Communications (overlap=1)
"Financial Business and Consumer Solutions, Inc.",FINANCIAL BUSINESS AND CONSUMER SOLUTIONS,"GE Business Productivity Solutions, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2)"
"Financial Business and Consumer Solutions, Inc.",FINANCIAL BUSINESS AND CONSUMER SOLUTIONS,"GE Business Productivity Solutions, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2)"
"Financial Risk Mitigation, Inc.",FINANCIAL RISK MITIGATION,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1)"
First American Financial Corporation,FIRST AMERICAN FINANCIAL,"First American Telecom, Corp. (overlap=2); First American Telecom, Corp. (overlap=2); American Financial Marketing Group Inc. (overlap=2)"
Fiserv,FISERV,None
Fiserv,FISERV,None
"Fiserv, Inc.",FISERV,None
Fluke Corporation,FLUKE,None
Flutter International Inc.,FLUTTER INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Focus Medical Communications, LLC",FOCUS MEDICAL COMMUNICATIONS,"Global Focus Communications, Inc. (overlap=2); Global Focus Communications, Inc. (overlap=2); Corr Wireless Communications, LLC (overlap=1)"
Forum Communications Company,FORUM COMMUNICATIONS,"Forum One Communications Corporation (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Fox Entertainment Group,FOX ENTERTAINMENT GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Fox Entertainment Group Inc.,FOX ENTERTAINMENT GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Fox Group,FOX GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Fox News LLC,FOX NEWS,"Fox Pager, Inc. (overlap=1); Fox Pager, Inc. (overlap=1); Fox Communications Corp. (overlap=1)"
Franklin International,FRANKLIN INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Freedom Financial Network, LLC",FREEDOM FINANCIAL NETWORK,"Transworld Network, LLC (overlap=1); Transworld Network Corp (overlap=1); Transworld Network, LLC (overlap=1)"
Freeport-McMoRan Inc.,FREEPORTMCMORAN,None
Frontier Communications,FRONTIER COMMUNICATIONS,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",FRONTIER COMMUNICATIONS PARENT,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",FRONTIER COMMUNICATIONS PARENT,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",FRONTIER COMMUNICATIONS PARENT,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",FRONTIER COMMUNICATIONS PARENT,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",FRONTIER COMMUNICATIONS PARENT,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
Gallagher NAC,GALLAGHER NAC,None
Gallagher NAC,GALLAGHER NAC,None
Gates Corporation,GATES,"Gates Communications, Inc. (overlap=1); Gates Communications, Inc. (overlap=1)"
Gates Corporation,GATES,"Gates Communications, Inc. (overlap=1); Gates Communications, Inc. (overlap=1)"
GC Services,GC SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
General Dynamics Information Technology,GENERAL DYNAMICS INFORMATION TECHNOLOGY,Horizon Information Technology (overlap=2); Horizon Information Technology (overlap=2); Horizon Information Technology (overlap=2)
"General Mills, Inc.",GENERAL MILLS,Kentucky RSA #4 Cellular General Partnership (overlap=1); Kentucky RSA #3 Cellular General Partnership (overlap=1); Acadiana Cellular General Partnership (overlap=1)
"Georgetown Capital Group, Inc.",GEORGETOWN CAPITAL GROUP,"Lakeland Communications Group, LLC (overlap=1); Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1)"
"GIGAFLIGHT Connectivity, Inc.",GIGAFLIGHT CONNECTIVITY,"NYSE Technologies Connectivity, Inc (overlap=1); NYSE Technologies Connectivity, Inc (overlap=1); NYSE Technologies Connectivity Inc. (overlap=1)"
Global Payments Inc.,GLOBAL PAYMENTS,Global Valley Networks (overlap=1); Global Valley Networks (overlap=1); Global Valley Networks (overlap=1)
"Global Payments, Inc.",GLOBAL PAYMENTS,Global Valley Networks (overlap=1); Global Valley Networks (overlap=1); Global Valley Networks (overlap=1)
GoDaddy,GODADDY,None
Google,GOOGLE,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
Google Inc.,GOOGLE,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
Google Inc.,GOOGLE,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
Google Inc.,GOOGLE,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
"Google, Inc.",GOOGLE,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
"Google, Inc.",GOOGLE,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
"Grand River Capital, LLC",GRAND RIVER CAPITAL,"Grand River Mutual Tel. Corporation (overlap=2); Grand River Long Distance (overlap=2); Grand River Communications, Inc. (overlap=2)"
Gray Television,GRAY TELEVISION,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
Gray Television Inc,GRAY TELEVISION,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray Television, Inc.",GRAY TELEVISION,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray Television, Inc.",GRAY TELEVISION,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray Television, Inc.",GRAY TELEVISION,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray, Inc.",GRAY,"Gray Florida Holdings, Inc. (overlap=1); Gray Bear Resources Corp (overlap=1); Gray Bear Resources Corp (overlap=1)"
"Harrison, Mauro & Morgan, P.A.",HARRISON MAURO & MORGAN PA,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
"HBP, Inc.",HBP,None
"Healthcare Fiscal Management, Inc.",HEALTHCARE FISCAL MANAGEMENT,"Coin Phone Management Company (overlap=1); Coin Phone Management Company (overlap=1); Payphone Management, Inc. (overlap=1)"
"Healthcare Fiscal Management, Inc.",HEALTHCARE FISCAL MANAGEMENT,"Coin Phone Management Company (overlap=1); Coin Phone Management Company (overlap=1); Payphone Management, Inc. (overlap=1)"
"Henry Schein, Inc.",HENRY SCHEIN,Henry County Tel. Co. (overlap=1); Henry County Telephone Company (overlap=1); Henry County Telephone Company (overlap=1)
"Herbalife International of America, Inc.",HERBALIFE INTERNATIONAL OF AMERICA,Telehouse International Corporation of America (overlap=3); Telehouse International Corporation of America (overlap=3); Telehouse International Corporation of America (overlap=3)
Hershey Entertainment & Resorts Company,HERSHEY ENTERTAINMENT & RESORTS,1Stop Media & Entertainment Inc. (overlap=2); 1Stop Media & Entertainment Inc. (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1)
Hewlett Packard Company,HEWLETT PACKARD,Packard Fiber LTD (overlap=1); Packard Fiber LTD (overlap=1)
Hewlett Packard Enterprise Company,HEWLETT PACKARD ENTERPRISE,"Verizon Enterprise Solutions (overlap=1); Verizon Enterprise Solutions (overlap=1); Global Enterprise Telecommunication Spec., Inc. (overlap=1)"
Hewlett Packard Enterprise Company,HEWLETT PACKARD ENTERPRISE,"Verizon Enterprise Solutions (overlap=1); Verizon Enterprise Solutions (overlap=1); Global Enterprise Telecommunication Spec., Inc. (overlap=1)"
Hewlett-Packard Company,HEWLETTPACKARD,None
Hewlett-Packard Company,HEWLETTPACKARD,None
Hewlett-Packard Company,HEWLETTPACKARD,None
Hewlett-Packard Company,HEWLETTPACKARD,None
Holden International,HOLDEN INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Honeywell International Inc.,HONEYWELL INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Honeywell International Inc.,HONEYWELL INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Honeywell International Inc.,HONEYWELL INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Honeywell International, Inc.",HONEYWELL INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Horizon Healthcare RCM,HORIZON HEALTHCARE RCM,Horizon Chillicothe Telephone (overlap=1); Horizon Chillicothe Telephone (overlap=1); Horizon one (overlap=1)
"Hoya Optical Labs of America, Inc.",HOYA OPTICAL LABS OF AMERICA,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
HP Enterprise Services,HP ENTERPRISE SERVICES,"Fidium Enterprise Services, LLC (overlap=2); Consolidated Communications Enterprise Services (overlap=2); Yipes Enterprise Services, Inc. (overlap=2)"
HP Enterprise Services LLC,HP ENTERPRISE SERVICES,"Fidium Enterprise Services, LLC (overlap=2); Consolidated Communications Enterprise Services (overlap=2); Yipes Enterprise Services, Inc. (overlap=2)"
"HP Enterprise Services, LLC",HP ENTERPRISE SERVICES,"Fidium Enterprise Services, LLC (overlap=2); Consolidated Communications Enterprise Services (overlap=2); Yipes Enterprise Services, Inc. (overlap=2)"
"HTI Technology & Industries, Inc.",HTI TECHNOLOGY & INDUSTRIES,"State of Iowa, Iowa Telecommunications & Technology (overlap=2); Nebraska Technology & Telecommunications, Inc. (overlap=2); Nebraska Technology & Telecommunications, Inc. (overlap=2)"
Huntington Hospitality Financial Services Corp,HUNTINGTON HOSPITALITY FINANCIAL SERVICES,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=2); ABM Financial Services, Inc. (overlap=2); ABM Financial Services, Inc. (overlap=2)"
"Huntington Ingalls Industries, Inc.",HUNTINGTON INGALLS INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Huntwood Industries,HUNTWOOD INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
IBM,IBM,None
IBM,IBM,None
"IES Communications, LLC",IES COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
iHeart Media Inc,IHEART MEDIA,"Four Media Company (overlap=1); Interactive Media Technologies, Inc. (overlap=1); Interactive Media Technologies, Inc. (overlap=1)"
"iHeartMedia + Entertainment, Inc.",IHEARTMEDIA + ENTERTAINMENT,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); M + B Telcom, Inc. (overlap=1); M + B Telcom (overlap=1)"
"iHeartMedia + Entertainment, Inc.",IHEARTMEDIA + ENTERTAINMENT,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); M + B Telcom, Inc. (overlap=1); M + B Telcom (overlap=1)"
"IMA Financial Group, Inc.",IMA FINANCIAL GROUP,"Minnesota Phone Company Financial Group, LLP (overlap=2); Minnesota Phone Company Financial Group, LLP (overlap=2); American Financial Marketing Group Inc. (overlap=2)"
"IMA Financial Group, Inc.",IMA FINANCIAL GROUP,"Minnesota Phone Company Financial Group, LLP (overlap=2); Minnesota Phone Company Financial Group, LLP (overlap=2); American Financial Marketing Group Inc. (overlap=2)"
Impact Mobile Home Communities,IMPACT MOBILE HOME COMMUNITIES,RAMONA LINCOLN MOBILE HOME PARK LLC (overlap=2); The Home Telephone Company (overlap=1); The Home Telephone Company (overlap=1)
Impact Mobile Home Communities,IMPACT MOBILE HOME COMMUNITIES,RAMONA LINCOLN MOBILE HOME PARK LLC (overlap=2); The Home Telephone Company (overlap=1); The Home Telephone Company (overlap=1)
"Indian Industries, Inc. d/b/a RAVE Sports",INDIAN INDUSTRIES INC D/B/A RAVE SPORTS,"iLOKA, Inc. d/b/a Microtech-Tel (overlap=2); Internet Xpress, Inc. d/b/a IXpress Telecom (overlap=2); Internet Xpress, Inc. d/b/a IXpress Telecom (overlap=2)"
InterActive Financial Marketing Group,INTERACTIVE FINANCIAL MARKETING GROUP,"American Financial Marketing Group Inc. (overlap=3); Response Marketing Group (overlap=2); Interactive Marketing Technologies, Inc. (overlap=2)"
International Paper Company,INTERNATIONAL PAPER,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Intuit, Inc.",INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit,INTUIT,None
Intuit,INTUIT,None
Intuit,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc,INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit,INTUIT,None
Intuit,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit,INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit,INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
Intuit,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc,INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit,INTUIT,None
Intuit,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit Inc.,INTUIT,None
"Intuit, Inc.",INTUIT,None
"Intuit, Inc.",INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc,INTUIT,None
Intuit Inc.,INTUIT,None
Intuit Inc.,INTUIT,None
J&M Brown Company Inc.,J&M BROWN,"Brown County MSA Cellular Ltd. Partnership (overlap=1); Brown County CLEC, LLC (overlap=1); Brown Hills Enterprises, Inc. (overlap=1)"
"J.B. Hunt Transport, Inc.",JB HUNT TRANSPORT,"Winnebago Transport Services, Inc. (overlap=1); Winnebago Transport Services, Inc. (overlap=1); Winnebago Transport Services, Inc. (overlap=1)"
"J.B. Hunt Transport, Inc.",JB HUNT TRANSPORT,"Winnebago Transport Services, Inc. (overlap=1); Winnebago Transport Services, Inc. (overlap=1); Winnebago Transport Services, Inc. (overlap=1)"
"Jet Industries, Inc.",JET INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Johnson Engineering,JOHNSON ENGINEERING,CN Johnson Holding (overlap=1); Johnson Tel. Co. (overlap=1); Johnson Telephone Company (overlap=1)
"Johnson Matthey, Inc.",JOHNSON MATTHEY,CN Johnson Holding (overlap=1); Johnson Tel. Co. (overlap=1); Johnson Telephone Company (overlap=1)
"Johnson Oâ€™Hare Company, Inc.",JOHNSON OÂ€™HARE,CN Johnson Holding (overlap=1); Johnson Tel. Co. (overlap=1); Johnson Telephone Company (overlap=1)
"Johnson, Lauder & Savidge, LLP",JOHNSON LAUDER & SAVIDGE LLP,Keycomm Voice & Data Services LLP (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
KeraLink International,KERALINK INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"King Industries, Inc.",KING INDUSTRIES,"King Salmon Communications, Inc. (overlap=1); Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1)"
Lavelle Industries Inc.,LAVELLE INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Lawrence Semiconductor Research Laboratory,LAWRENCE SEMICONDUCTOR RESEARCH LABORATORY,St. Lawrence Seaway Cellular Partnership (overlap=1); Rondall L. Lawrence JR. (overlap=1); Rondall L. Lawrence JR. (overlap=1)
"LC Industries, Inc.",LC INDUSTRIES,"NSP, LC dba Cellcom (overlap=1); Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1)"
LCS Financial Services,LCS FINANCIAL SERVICES,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=2); ABM Financial Services, Inc. (overlap=2); ABM Financial Services, Inc. (overlap=2)"
"Leidos, Inc.",LEIDOS,None
Lennar Corporation,LENNAR,None
"Livingston Street Capital, LLC",LIVINGSTON STREET CAPITAL,Livingston Telephone Company Incorporated (overlap=1); Livingston Telephone Company (overlap=1); Livingston Telephone Company (overlap=1)
LPL Financial LLC,LPL FINANCIAL,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1)"
"LX/JT Intermediate Holdings, Inc. d/b/a Bevolution Group",LX/JT INTERMEDIATE HOLDINGS INC D/B/A BEVOLUTION GROUP,"Global Crossing Holdings USA, Inc. (Debtor-In-Possession) (overlap=2); iLOKA, Inc. d/b/a Microtech-Tel (overlap=2); Layerone Holdings, Inc.- CONSOLIDATED (overlap=2)"
Marathon Petroleum Company LP,MARATHON PETROLEUM,Marathon Communications Corporation (overlap=1); Marathon USA (overlap=1); Marathon USA (overlap=1)
"Mark Dunning Industries, Inc.",MARK DUNNING INDUSTRIES,Mark Twain Rural Tel. Co. (overlap=1); Mark Twain Rural Telephone Company (overlap=1); Mark Twain Rural Telephone Company (overlap=1)
"Marking Services, Inc.",MARKING SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Marriott International, Inc.",MARRIOTT INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Marsh & McLennan Companies, Inc.",MARSH & MCLENNAN COMPANIES,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
Martin Showers Smith & McDonald LLP,MARTIN SHOWERS SMITH & MCDONALD LLP,Donald Westley & Gary Smith (overlap=2); Donald Westley & Gary Smith (overlap=2); Keycomm Voice & Data Services LLP (overlap=2)
MD2 International,MD2 INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Mead Johnson & Company, LLC",MEAD JOHNSON,CN Johnson Holding (overlap=1); Johnson Tel. Co. (overlap=1); Johnson Telephone Company (overlap=1)
Mediacom Communications Corporation,MEDIACOM COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
Mediant Communications Inc.,MEDIANT COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"Medical Healthcare Solutions, Inc.",MEDICAL HEALTHCARE SOLUTIONS,"Healthcare Connect Solutions (overlap=2); Medical Computing Solutions (overlap=2); GE Business Productivity Solutions, Inc. (overlap=1)"
Merlin Information Services,MERLIN INFORMATION SERVICES,"Centris Information Services (overlap=2); Time Warner Cable Information Services (Maine), LLC (overlap=2); Time Warner Cable Information Services (Texas), LP (overlap=2)"
Merlin Information Services,MERLIN INFORMATION SERVICES,"Centris Information Services (overlap=2); Time Warner Cable Information Services (Maine), LLC (overlap=2); Time Warner Cable Information Services (Texas), LP (overlap=2)"
MGM Resorts International,MGM RESORTS INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
