cik,grp,pkey,first_date,n_mentions,n_filings,accessions,first_accession,persons,is_ceo,restated_only,vacancy_only,director_only
896878,director,dubinsky,2006-10-27,1,1,0000950134-06-019813,0000950134-06-019813,Donna L. Dubinsky,0,0,0,1
896878,director,greene,2017-10-19,1,1,0000896878-17-000162,0000896878-17-000162,Diane B. Greene,0,0,0,1
896878,director,kangas,2015-10-30,1,1,0001193125-15-360231,0001193125-15-360231,Edward A. Kangas,0,0,0,1
896878,exec,bennett,2007-08-22,1,1,0000891618-07-000516,0000891618-07-000516,Stephen M. Bennett,1,0,0,1
896878,exec,chriss,2023-08-14,2,1,0000896878-23-000028,0000896878-23-000028,Alex Chriss,0,0,0,1
896878,exec,flournoy,2021-11-10,3,1,0000896878-21-000255,0000896878-21-000255,Mark J. Flournoy,0,0,0,1
896878,exec,goodarzi,2018-08-23,1,1,0000896878-18-000162,0000896878-18-000162,Sasan Goodarzi,0,0,0,1
896878,exec,hank,2013-07-19,1,1,0001193125-13-295758,0001193125-13-295758,Jeff Hank,0,0,0,1
896878,exec,intuit,2007-11-08,1,1,0000950134-07-023354,0000950134-07-023354,Intuit’s,0,0,0,1
896878,exec,johnson,2022-05-24,2,1,0000896878-22-000019,0000896878-22-000019,Gregory Johnson,1,0,0,1
896878,exec,maurer,2014-07-29,2,1,0001193125-14-284196,0001193125-14-284196,Daniel Maurer,0,0,0,1
896878,exec,patel,2013-05-20,2,1,0000896878-13-000062,0000896878-13-000062,Kiran M. Patel,0,0,0,1
896878,exec,smith,2018-08-23,4,2,0000896878-18-000162;0000896878-18-000207,0000896878-18-000162,Brad D. Smith | Brad Smith,1,0,0,1
896878,exec,stansbury,2018-08-23,2,1,0000896878-18-000162,0000896878-18-000162,Tayloe Stansbury,0,0,0,1
896878,exec,wernikoff,2018-05-22,2,1,0000896878-18-000073,0000896878-18-000073,Dan Wernikoff,0,0,0,1
896878,exec,williams,2017-08-22,1,1,0000896878-17-000117,0000896878-17-000117,Neil Williams,0,0,0,1
896878,exec,,2007-06-14,1,1,0000950134-07-013435,0000950134-07-013435,None,0,0,0,1
908937,director,bates,2016-02-22,1,1,0000930413-16-005595,0000930413-16-005595,Anthony J. Bates,0,0,0,1
908937,director,carleton,2014-12-11,1,1,0000930413-14-004831,0000930413-14-004831,Mark D. Carleton,0,0,1,1
908937,director,rapino,2018-01-23,1,1,0000908937-18-000008,0000908937-18-000008,Michael Rapino,0,0,0,1
908937,director,,2014-12-11,1,1,0000930413-14-004831,0000930413-14-004831,None,0,0,0,1
908937,exec,meyer,2011-02-15,2,2,0000930413-11-001085;0000930413-12-001340,0000930413-11-001085,James E. Meyer,0,0,0,1
908937,exec,rodriguez,2015-06-30,3,1,0000930413-15-002950,0000930413-15-002950,Enrique Rodriguez,0,0,0,1
908937,exec,vehicle,2015-06-30,1,1,0000930413-15-002950,0000930413-15-002950,Connected Vehicle,0,0,0,1
920522,director,randlett,2015-08-18,1,1,0001140361-15-032543,0001140361-15-032543,Thomas E. Randlett,0,0,0,1
920522,exec,dance,2015-05-07,1,1,0000920522-15-000011,0000920522-15-000011,Michael Dance,0,0,0,1
920522,exec,hunt,2013-08-06,1,1,0001140361-13-030591,0001140361-13-030591,Bryan Hunt,0,0,0,1
920522,exec,kleiman,2015-05-07,1,1,0000920522-15-000011,0000920522-15-000011,Angela Kleiman,0,0,0,1
943452,director,faiveley,2021-02-18,2,2,0001140361-21-005371;0001140361-21-018288,0001140361-21-005371,Erwan Faiveley,0,0,0,1
943452,director,fernandez,2020-05-20,1,1,0001140361-20-012015,0001140361-20-012015,Emilio A. Fernandez,0,1,0,1
943452,director,michael,2022-05-24,1,1,0001140361-22-020352,0001140361-22-020352,Mr. Michael,0,0,0,1
943452,director,,2022-12-07,1,1,0001140361-22-044669,0001140361-22-044669,None,0,0,0,1
943452,exec,dugan,2021-08-12,3,2,0001140361-21-028111;0001140361-21-031241,0001140361-21-028111,Patrick A. Dugan,0,0,0,1
943452,exec,wahlstrom,2020-08-04,1,1,0001140361-20-017477,0001140361-20-017477,Scott E. Wahlstrom,0,0,0,1
943452,exec,,2022-12-07,1,1,0001140361-22-044669,0001140361-22-044669,None,0,0,0,1
1000228,director,alperin,2021-12-08,1,1,0001193125-21-350793,0001193125-21-350793,Barry J. Alperin,0,0,0,1
1000228,director,schein,2021-12-08,1,1,0001193125-21-350793,0001193125-21-350793,Henry Schein,0,0,0,1
1000228,exec,benjamin,2022-04-04,2,1,0001193125-22-094333,0001193125-22-094333,Gerald A. Benjamin,0,0,0,1
1000228,exec,paladino,2022-01-05,4,1,0001193125-22-002148,0001193125-22-002148,Steven Paladino,0,0,0,1
1000228,exec,south,2022-01-05,1,1,0001193125-22-002148,0001193125-22-002148,Ronald N. South,0,0,0,1
1001082,director,carlson,2023-11-06,1,1,0001104659-23-114464,0001104659-23-114464,Erik Carlson,0,0,0,0
1001082,director,mohebbi,2022-01-04,1,1,0001001082-22-000006,0001001082-22-000006,Afshin Mohebbi,0,0,0,1
1001082,exec,carlson,2023-08-08,3,3,0001104659-23-088620;0001104659-23-114464;0001104659-23-116755,0001104659-23-088620,Erik Carlson | Mr. Carlson,1,0,0,1
1001082,exec,narayan,2023-06-23,1,1,0001001082-23-000031,0001001082-23-000031,Mr. Narayan,0,0,0,1
1001250,director,bravo,2022-07-22,1,1,0001001250-22-000114,0001001250-22-000114,Rose Marie Bravo,0,0,0,1
1001250,director,hockaday,2021-07-16,1,1,0001001250-21-000111,0001001250-21-000111,"Irvine O. Hockaday, Jr.",0,0,0,1
1001250,director,lauder,2023-08-24,1,1,0001001250-23-000119,0001001250-23-000119,Leonard A. Lauder,0,0,0,1
1001250,exec,demsey,2022-02-28,1,1,0001001250-22-000023,0001001250-22-000023,John Demsey,0,0,0,1
1001250,exec,,2021-10-26,1,1,0001001250-21-000168,0001001250-21-000168,None,0,0,0,1
1041061,director,,2022-12-23,1,1,0001104659-22-129816,0001104659-22-129816,None,0,0,0,1
1041061,exec,bell,2023-06-29,1,1,0001041061-23-000033,0001041061-23-000033,Taco Bell,1,0,0,1
1041061,exec,gibbs,2021-09-22,1,1,0001041061-21-000048,0001041061-21-000048,David Gibbs,1,0,0,1
1041061,exec,tony,2021-09-22,1,1,0001041061-21-000048,0001041061-21-000048,Mr. Tony,1,0,0,1
1048911,director,estrin,2010-06-16,1,1,0000950123-10-058498,0000950123-10-058498,Judith L. Estrin,0,0,0,1
1048911,director,,2010-09-30,1,1,0000950123-10-090493,0000950123-10-090493,None,0,0,0,1
1048911,exec,duncan,2009-09-22,3,2,0000950123-09-044728;0000950123-09-056728,0000950123-09-044728,Douglas G. Duncan,1,0,0,1
1051470,director,abrams,2012-02-24,1,1,0001193125-12-078385,0001193125-12-078385,David C. Abrams,0,0,0,1
1058290,director,atkins,2018-11-05,1,1,0001058290-18-000044,0001058290-18-000044,Betsy S. Atkins,0,0,0,1
1058290,director,chadwick,2019-09-20,2,2,0001058290-19-000028;0001058290-19-000030,0001058290-19-000028,Jonathan Chadwick,0,0,0,1
1058290,director,d’souza,2020-02-05,1,1,0001058290-20-000004,0001058290-20-000004,Francisco D’Souza,0,0,0,0
1058290,director,klein,2019-12-06,1,1,0001058290-19-000038,0001058290-19-000038,John E. Klein,0,0,0,1
1058290,exec,d’souza,2019-02-06,1,1,0001058290-19-000006,0001058290-19-000006,Francisco D’Souza,1,0,0,1
1058290,exec,mehta,2019-02-06,1,1,0001058290-19-000006,0001058290-19-000006,Rajeev Mehta,0,0,0,1
1060391,director,collins,2013-08-26,1,1,0001060391-13-000035,0001060391-13-000035,Tomago Collins,0,0,0,1
1060391,director,holmes,2012-06-25,3,1,0001193125-12-282327,0001193125-12-282327,Tod C. Holmes,0,0,0,0
1060391,director,wickham,2014-02-12,1,1,0001060391-14-000007,0001060391-14-000007,Michael W. Wickham,0,0,0,1
1060391,exec,boucher,2013-10-10,1,1,0001060391-13-000038,0001060391-13-000038,Robert Boucher,0,0,0,1
1060391,exec,holmes,2012-04-26,6,3,0001060391-12-000023;0001193125-12-186198;0001193125-12-282327,0001193125-12-186198,Tod C. Holmes,0,0,0,1
1060391,exec,hughes,2020-03-03,1,1,0001193125-20-060522,0001193125-20-060522,Jeffrey A. Hughes,0,0,0,1
1060391,exec,serianni,2013-04-29,1,1,0001060391-13-000021,0001060391-13-000021,Charles F. Serianni,0,0,0,1
1060391,exec,serianni,2020-05-21,2,1,0001060391-20-000039,0001060391-20-000039,Charles F. Serianni,1,0,0,1
1060391,exec,slager,2021-03-30,6,2,0001060391-21-000027;0001193125-21-100584,0001193125-21-100584,Donald W. Slager,1,0,0,1
1060391,exec,walbridge,2011-12-22,2,1,0001193125-11-350759,0001193125-11-350759,Kevin C. Walbridge,0,0,0,1
1091667,director,davis,2008-12-11,1,1,0001091667-08-000201,0001091667-08-000201,Nathaniel A. Davis,0,0,0,1
1091667,director,dolgen,2008-09-30,1,1,0001091667-08-000171,0001091667-08-000171,Jonathan L. Dolgen,0,0,0,1
1091667,director,jacobson,2024-02-05,2,1,0001091667-24-000030,0001091667-24-000030,Craig A. Jacobson,0,0,0,1
1091667,director,jeffrey,2013-11-12,1,1,0001091667-13-000176,0001091667-13-000176,Mr. Jeffrey,0,0,0,1
1091667,director,nathanson,2008-12-05,1,1,0001091667-08-000197,0001091667-08-000197,Marc B. Nathanson,0,0,0,1
1091667,director,parker,2013-05-02,1,1,0001091667-13-000058,0001091667-13-000058,Stan Parker,0,0,0,1
1091667,director,rutledge,2023-10-25,1,1,0001091667-23-000137,0001091667-23-000137,Thomas M. Rutledge,0,0,1,0
1091667,director,,2008-06-23,1,1,0001091667-08-000129,0001091667-08-000129,None,0,0,0,1
1091667,director,,2008-07-08,1,1,0001091667-08-000143,0001091667-08-000143,None,0,0,0,1
1091667,exec,ann,2007-03-14,1,1,0001091667-07-000050,0001091667-07-000050,Sue Ann,0,0,0,1
1091667,exec,apodaca,2012-06-11,3,2,0001091667-12-000100;0001091667-12-000122,0001091667-12-000100,Steve Apodaca,0,0,0,1
1091667,exec,digeronimo,2022-09-21,1,1,0001091667-22-000104,0001091667-22-000104,Richard J. DiGeronimo,0,0,0,1
1091667,exec,fisher,2008-03-11,2,1,0001091667-08-000035,0001091667-08-000035,Jeffrey T. Fisher,0,0,0,1
1091667,exec,lovett,2011-10-11,2,2,0001091667-11-000130;0001091667-12-000014,0001091667-11-000130,Michael J. Lovett,1,0,0,1
1091667,exec,quigley,2008-06-23,4,2,0001091667-08-000129;0001091667-08-000143,0001091667-08-000129,Robert A. Quigley,0,0,0,1
1091667,exec,rutledge,2022-09-21,3,2,0001091667-22-000104;0001091667-23-000137,0001091667-22-000104,Thomas M. Rutledge,0,0,0,1
1091667,exec,winfrey,2022-09-21,1,1,0001091667-22-000104,0001091667-22-000104,Christopher L. Winfrey,1,0,0,1
1091667,exec,zinterhofer,2023-10-25,1,1,0001091667-23-000137,0001091667-23-000137,Eric L. Zinterhofer,0,0,0,1
1108524,director,freeland,2007-09-26,1,1,0001193125-07-208064,0001193125-07-208064,Mr. Freeland,0,0,0,1
1108524,exec,cakebread,2006-06-02,2,2,0001193125-06-123693;0001193125-06-174639,0001193125-06-123693,Steve Cakebread,0,0,0,1
1108524,exec,cakebread,2008-03-07,1,1,0001193125-08-050327,0001193125-08-050327,Steve Cakebread,0,0,0,1
1108524,exec,dewes,2007-07-16,2,1,0001193125-07-155725,0001193125-07-155725,William Dewes,0,0,0,1
1108524,exec,john,2007-09-26,1,1,0001193125-07-208064,0001193125-07-208064,Mr. John,0,0,0,1
1123360,exec,hyde,2012-07-18,1,1,0001123360-12-000041,0001123360-12-000041,Joseph Hyde,0,0,0,1
1136893,director,alemany,2024-03-15,1,1,0001193125-24-069200,0001193125-24-069200,Ellen Alemany,0,0,0,1
1136893,director,child,2006-02-06,1,1,0001104659-06-006239,0001104659-06-006239,Richard N. Child,0,0,0,1
1136893,director,doyle,2005-12-09,1,1,0001193125-05-239862,0001193125-05-239862,Charles T. Doyle,0,0,0,1
1136893,director,ernst,2023-01-20,2,1,0001193125-23-011458,0001193125-23-011458,Mark A. Ernst,0,0,0,1
1136893,director,hawkins,2021-06-09,2,2,0001136893-21-000145;0001136893-21-000196,0001136893-21-000145,Mark J. Hawkins,0,0,0,1
1136893,director,hughes,2023-01-25,2,1,0001193125-23-015151,0001193125-23-015151,Keith W. Hughes,0,0,0,1
1136893,director,information,2006-05-02,1,1,0000892569-06-000649,0000892569-06-000649,Fidelity National Information,0,0,1,1
1136893,director,information,2021-09-03,1,1,0001136893-21-000196,0001136893-21-000196,Fidelity National Information,0,0,0,1
1136893,director,lassiter,2006-07-06,1,1,0000892569-06-000846,0000892569-06-000846,Phillip B. Lassiter,0,0,0,1
1136893,director,parent,2024-02-01,1,1,0001193125-24-021392,0001193125-24-021392,Louise Parent,0,0,0,1
1136893,director,shea,2024-04-05,1,1,0001193125-24-088508,0001193125-24-088508,Brian T. Shea,0,0,0,1
1136893,director,title,2006-07-06,1,1,0000892569-06-000846,0000892569-06-000846,Fidelity National Title,0,0,0,1
1136893,exec,boyd,2022-08-17,1,1,0001136893-22-000155,0001136893-22-000155,Martin R. Boyd,0,0,0,1
1136893,exec,enterprises,2022-03-21,1,1,0001136893-22-000056,0001136893-22-000056,Insight Enterprises,1,0,0,1
1136893,exec,gileadi,2023-04-21,3,2,0001136893-23-000069;0001193125-24-044681,0001136893-23-000069,Ido Gileadi,0,0,0,1
1136893,exec,hoag,2023-08-22,1,1,0001193125-23-218012,0001193125-23-218012,Erik D. Hoag,0,0,0,1
1136893,exec,kennedy,2008-01-02,1,1,0000892569-08-000017,0000892569-08-000017,Lee A. Kennedy,1,0,0,1
1136893,exec,lamneck,2022-03-21,2,1,0001136893-22-000056,0001136893-22-000056,Kenneth T. Lamneck,1,0,0,1
1136893,exec,lowthers,2022-01-14,1,1,0001136893-22-000005,0001136893-22-000005,Bruce Lowthers,0,0,0,1
1136893,exec,norcross,2022-10-19,1,1,0001136893-22-000173,0001136893-22-000173,Gary A. Norcross,1,0,0,1
1136893,exec,warren,2023-05-26,1,1,0001136893-23-000090,0001136893-23-000090,Thomas K. Warren,0,0,0,1
1137789,director,onken,2016-07-08,1,1,0001104659-16-131749,0001104659-16-131749,Kris Onken,0,0,0,1
1137789,exec,brace,2017-06-02,2,2,0001193125-17-192960;0001193125-17-234440,0001193125-17-192960,Philip G. Brace,0,0,0,1
1137789,exec,luczo,2017-07-25,1,1,0001193125-17-234440,0001193125-17-234440,Stephen J. Luczo,1,0,0,1
1137789,exec,,2017-06-02,1,1,0001193125-17-192960,0001193125-17-192960,Cloud Systems,0,0,0,1
1137789,exec,,2017-07-25,1,1,0001193125-17-234440,0001193125-17-234440,Cloud Systems,0,1,0,1
1140859,director,clark,2024-05-03,1,1,0001140859-24-000081,0001140859-24-000081,Gina K. Clark,0,0,0,0
1140859,director,henney,2023-01-26,2,1,0001140859-23-000021,0001140859-23-000021,Jane E. Henney,0,0,0,1
1140859,director,mcgee,2024-01-16,1,1,0001140859-24-000012,0001140859-24-000012,Henry W. McGee,0,0,0,1
1140859,exec,clark,2024-05-03,1,1,0001140859-24-000081,0001140859-24-000081,Gina K. Clark,0,0,0,1
1140859,exec,collis,2024-03-12,3,2,0001104659-24-033278;0001104659-24-035045,0001104659-24-033278,Steven H. Collis,1,0,0,1
1166691,director,anstrom,2011-09-22,1,1,0001193125-11-254480,0001193125-11-254480,Decker Anstrom,0,0,0,1
1166691,director,breen,2011-11-07,1,1,0001193125-11-299646,0001193125-11-299646,Edward D. Breen,0,0,0,1
1166691,director,breen,2014-02-14,1,1,0000950103-14-001112,0000950103-14-001112,Edward D. Breen,0,0,0,0
1166691,director,sovern,2011-02-25,1,1,0000950103-11-000772,0000950103-11-000772,Michael I. Sovern,0,0,0,1
1166691,exec,alchin,2006-11-28,1,1,0000950103-06-002700,0000950103-06-002700,Mr. Alchin,0,0,0,1
1166691,exec,breen,2014-02-14,1,1,0000950103-14-001112,0000950103-14-001112,Edward D. Breen,1,0,0,1
1166691,exec,burke,2011-01-31,1,1,0000950103-11-000353,0000950103-11-000353,Stephen B. Burke,0,0,0,1
1166691,exec,cavanagh,2023-01-06,2,1,0000950103-23-000208,0000950103-23-000208,Michael J. Cavanagh,0,0,0,1
1166691,exec,john,2006-11-28,2,2,0000950103-06-002700;0000950103-07-003148,0000950103-06-002700,Mr. John,0,0,0,1
1166691,exec,lawrence,2006-11-28,1,1,0000950103-06-002700,0000950103-06-002700,Mr. Lawrence,0,0,0,1
1166691,exec,roberts,2022-10-12,1,1,0000950103-22-017696,0000950103-22-017696,Brian L. Roberts,1,0,0,1
1166691,exec,rodgers,2011-09-22,1,1,0001193125-11-254480,0001193125-11-254480,Johnathan Rodgers,1,0,0,1
1166691,exec,smith,2006-11-28,1,1,0000950103-06-002700,0000950103-06-002700,Mr. Smith,0,0,0,1
1283699,director,dannenfeldt,2018-11-02,3,2,0001283699-18-000063;0001283699-18-000071,0001283699-18-000063,Thomas Dannenfeldt,0,0,0,1
1283699,director,datar,2013-05-02,3,2,0001193125-13-193449;0001193125-13-448555,0001193125-13-193449,Srikant Datar | Srikant M. Datar,0,0,0,1
1283699,director,datar,2020-04-01,1,1,0001193125-20-093622,0001193125-20-093622,Srikant Madhav Datar,0,0,1,1
1283699,director,fisher,2020-06-22,1,1,0001140361-20-014470,0001140361-20-014470,Ronald D. Fisher,0,0,0,1
1283699,director,gopalan,2020-11-12,1,1,0001193125-20-291827,0001193125-20-291827,Srini Gopalan,0,0,0,1
1283699,director,holloway,2023-02-03,2,1,0001193125-23-024130,0001193125-23-024130,Bavan Holloway,0,0,0,1
1283699,director,jacobfeuerborn,2020-04-01,1,1,0001193125-20-093622,0001193125-20-093622,Bruno Jacobfeuerborn,0,0,0,1
1283699,director,kappes,2021-04-12,2,2,0001193125-21-113210;0001193125-21-198692,0001193125-21-113210,Stephen Kappes,0,0,0,1
1283699,director,landry,2012-08-03,4,2,0001193125-13-193449;0001283699-12-000010,0001283699-12-000010,Kevin Landry,0,0,0,1
1283699,director,legere,2020-04-24,3,1,0001193125-20-119230,0001193125-20-119230,John Legere,0,0,0,0
1283699,director,obermann,2013-10-25,4,2,0001283699-13-000120;0001283699-13-000134,0001283699-13-000120,René Obermann,0,0,0,1
1283699,director,perry,2014-02-19,1,1,0001193125-14-058782,0001193125-14-058782,"James N. Perry, Jr.",0,0,0,1
1283699,director,swantee,2019-04-19,1,1,0001283699-19-000066,0001283699-19-000066,Mr. Swantee,0,0,0,1
1283699,director,tazi,2022-11-22,2,1,0001193125-22-290740,0001193125-22-290740,Omar Tazi,0,0,0,1
1283699,director,wilkens,2022-04-22,3,2,0001193125-22-115091;0001193125-22-239983,0001193125-22-115091,Michael Wilkens,0,0,0,1
1283699,director,,2013-11-20,1,1,0001193125-13-448555,0001193125-13-448555,None,0,0,0,1
1283699,exec,alling,2015-02-18,1,1,0001193125-15-052763,0001193125-15-052763,Mr. Alling,0,0,0,1
1283699,exec,carey,2020-02-19,3,3,0001193125-20-041926;0001193125-20-071678;0001193125-20-109354,0001193125-20-041926,David Carey,0,0,0,1
1283699,exec,carter,2013-05-02,1,1,0001193125-13-193449,0001193125-13-193449,Braxton Carter,0,0,0,1
1283699,exec,carter,2019-11-18,6,2,0001140361-20-014081;0001193125-19-294093,0001193125-19-294093,Braxton Carter,0,0,0,1
1283699,exec,ewens,2023-09-08,1,1,0001193125-23-231377,0001193125-23-231377,Peter Ewens,0,0,0,1
1283699,exec,king,2016-02-19,1,1,0001193125-16-470124,0001193125-16-470124,Gary A. King,0,0,0,1
1283699,exec,legere,2018-04-30,1,1,0001104659-18-028086,0001104659-18-028086,John J. Legere,0,0,0,1
1283699,exec,legere,2019-11-18,3,3,0001193125-19-294093;0001193125-20-093622;0001193125-20-119230,0001193125-19-294093,John J. Legere | John Legere,1,0,0,1
1283699,exec,lorang,2013-05-02,1,1,0001193125-13-193449,0001193125-13-193449,Malcolm M. Lorang,0,0,0,1
1283699,exec,miller,2021-09-16,2,1,0001193125-21-275230,0001193125-21-275230,David A. Miller,0,0,0,1
1283699,exec,ray,2023-02-13,2,1,0001193125-23-035719,0001193125-23-035719,Neville Ray,0,0,0,1
1283699,exec,sievert,2018-04-30,1,1,0001104659-18-028086,0001104659-18-028086,Michael Sievert,0,0,0,1
1326160,director,angelakis,2017-08-25,1,1,0001104659-17-053547,0001104659-17-053547,Michael J. Angelakis,0,0,0,1
1326160,director,james,2012-11-29,1,1,0001104659-12-080906,0001104659-12-080906,Dr. James,0,0,0,1
1326160,director,johnson,2012-07-03,1,1,0001193125-12-293901,0001193125-12-293901,William D. Johnson,0,0,0,0
1326160,director,kennard,2021-03-03,1,1,0001326160-21-000105,0001326160-21-000105,William E. Kennard,0,0,0,1
1326160,director,rogers,2012-11-29,2,2,0001104659-12-080906;0001104659-14-000076,0001104659-12-080906,James E. Rogers | Jim Rogers,0,0,0,1
1326160,director,rose,2021-03-03,1,1,0001326160-21-000105,0001326160-21-000105,Marya M. Rose,0,0,0,1
1326160,director,stone,2012-07-27,3,1,0000898822-12-000348,0000898822-12-000348,Theresa M. Stone,0,0,0,1
1326160,exec,douglas,2021-09-27,1,1,0001326160-21-000219,0001326160-21-000219,Mr. Douglas,0,0,0,1
1326160,exec,good,2013-06-18,1,1,0001104659-13-049764,0001104659-13-049764,Ms. Good,0,0,0,1
1326160,exec,johnson,2012-07-03,3,1,0001193125-12-293901,0001193125-12-293901,William D. Johnson,1,0,0,1
1326160,exec,manly,2012-11-29,1,1,0001104659-12-080906,0001104659-12-080906,Marc Manly,0,0,0,1
1326160,exec,moorman,2016-02-29,1,1,0001104659-16-100726,0001104659-16-100726,Charles W. Moorman,1,0,0,1
1326160,exec,region,2019-08-09,1,1,0001410578-19-000740,0001410578-19-000740,Carolinas Region,0,0,0,1
1326160,exec,regions,2021-03-30,1,1,0001104659-21-043714,0001104659-21-043714,Florida Regions,0,0,0,1
1326160,exec,,2012-07-03,1,1,0001193125-12-293901,0001193125-12-293901,Progress Energy,1,0,0,1
1326160,exec,,2013-06-18,1,1,0001104659-13-049764,0001104659-13-049764,Duke Energy,1,0,0,1
1341439,director,lucas,2013-02-05,1,1,0001193125-13-037562,0001193125-13-037562,Donald L. Lucas,0,0,0,1
1341439,exec,sales,2012-06-21,1,1,0001193125-12-277735,0001193125-12-277735,North America Sales,0,0,0,1
1373715,director,rathnam,2022-10-26,1,1,0001373715-22-000329,0001373715-22-000329,Sukumar Rathnam,0,0,0,1
1373715,director,woodside,2022-08-24,1,1,0001373715-22-000309,0001373715-22-000309,Dennis M. Woodside,0,0,0,1
1373715,exec,caimi,2023-04-26,1,1,0001373715-23-000162,0001373715-23-000162,Lara Caimi,0,0,0,1
1373715,exec,desai,2024-07-24,1,1,0001373715-24-000269,0001373715-24-000269,Mr. Desai,0,0,0,1
1428439,exec,fix,2023-03-08,1,1,0001193125-23-063903,0001193125-23-063903,Stitch Fix,0,0,0,1
1428439,exec,louden,2022-11-02,1,1,0001428439-22-000033,0001428439-22-000033,Steve Louden,0,0,0,1
1428439,exec,rosenberg,2022-01-07,2,1,0001193125-22-004090,0001193125-22-004090,Scott Rosenberg,0,0,0,1
1447669,director,dalzell,2023-03-30,2,1,0001447669-23-000075,0001447669-23-000075,Richard Dalzell,0,0,0,1
1447669,director,deeter,2024-04-04,3,1,0001193125-24-086510,0001193125-24-086510,Byron Deeter,0,0,0,1
1447669,director,donio,2022-05-04,4,1,0001447669-22-000094,0001447669-22-000094,Elena Donio,0,0,0,0
1447669,director,lawson,2024-01-08,1,1,0001193125-24-004000,0001193125-24-004000,Jeff Lawson,0,0,0,0
1447669,exec,boroditsky,2022-05-04,1,1,0001447669-22-000094,0001447669-22-000094,Marc D. Boroditsky,0,0,0,1
1447669,exec,chew,2021-05-05,1,1,0001447669-21-000122,0001447669-21-000122,Chee Chew,0,0,0,1
1447669,exec,donio,2023-02-13,3,2,0001193125-23-034646;0001447669-23-000224,0001193125-23-034646,Elena Donio,1,0,0,1
1447669,exec,hu,2021-10-27,1,1,0001447669-21-000263,0001447669-21-000263,George Hu,0,0,0,1
1447669,exec,lawson,2024-01-08,2,1,0001193125-24-004000,0001193125-24-004000,Jeff Lawson,1,0,0,1
1447669,exec,manor,2023-02-15,1,1,0001447669-23-000025,0001447669-23-000025,Eyal Manor,0,0,0,1
1447669,exec,shipchandler,2023-02-13,2,2,0001193125-23-034646;0001193125-24-004000,0001193125-23-034646,Khozema Shipchandler,1,0,0,1
1447669,exec,smith,2021-02-22,2,2,0001193125-21-049966;0001447669-21-000296,0001193125-21-049966,Karyn Smith,0,0,0,1
1501585,director,bilden,2022-07-22,1,1,0001193125-22-200081,0001193125-22-200081,Philip M. Bilden,0,0,0,1
1501585,director,faller,2023-10-05,1,1,0001193125-23-251587,0001193125-23-251587,Admiral Faller,0,0,0,1
1501585,director,petters,2022-12-20,1,1,0001193125-22-309155,0001193125-22-309155,Michael Petters,0,0,0,0
1501585,exec,cuccias,2021-03-08,3,1,0001193125-21-072840,0001193125-21-072840,Brian J. Cuccias,0,0,0,1
1501585,exec,kastner,2020-12-18,1,1,0001193125-20-321598,0001193125-20-321598,Christopher D. Kastner,0,0,0,1
1501585,exec,petters,2022-02-01,5,3,0001193125-22-023552;0001193125-22-065623;0001193125-22-309155,0001193125-22-023552,Michael Petters,1,0,0,1
1501585,exec,walker,2020-03-10,2,1,0001193125-20-068719,0001193125-20-068719,Kellye L. Walker,0,0,0,1
1501585,exec,wilkinson,2021-03-08,1,1,0001193125-21-072840,0001193125-21-072840,Kara R. Wilkinson,0,0,0,1
1510295,director,james,2018-10-01,1,1,0001193125-18-289740,0001193125-18-289740,Donna A. James,0,0,0,1
1510295,director,semple,2018-10-01,1,1,0001193125-18-289740,0001193125-18-289740,Frank M. Semple,0,0,0,1
1510295,exec,griffith,2019-06-25,1,1,0001510295-19-000078,0001510295-19-000078,Timothy T. Griffith,0,0,0,1
1510295,exec,heminger,2017-06-05,1,1,0001510295-17-000059,0001510295-17-000059,Gary R. Heminger,0,0,0,1
1510295,exec,kenney,2019-06-25,1,1,0001510295-19-000078,0001510295-19-000078,Anthony R. Kenney,0,0,0,1
1510295,exec,nickerson,2017-03-15,1,1,0001510295-17-000028,0001510295-17-000028,Randy S. Nickerson,0,0,0,1
1510295,exec,palmer,2018-08-10,2,2,0001510295-18-000146;0001510295-19-000007,0001510295-18-000146,Michael Palmer,0,0,0,1
1510295,exec,templin,2017-06-05,2,1,0001510295-17-000059,0001510295-17-000059,Donald C. Templin,0,0,0,1
1535527,director,landy,2020-06-18,1,1,0001104659-20-074711,0001104659-20-074711,Joseph Landy,0,0,0,1
1535527,director,sexton,2021-12-30,1,1,0001104659-21-154724,0001104659-21-154724,Joseph Sexton,0,0,0,1
1535527,exec,black,2021-10-22,1,1,0001104659-21-129072,0001104659-21-129072,Colin Black,0,1,0,1
1535527,exec,maheshwari,2021-08-06,4,2,0001104659-21-101531;0001104659-21-117007,0001104659-21-101531,Abhishek Maheshwari,0,0,0,1
1543151,director,cohler,2019-07-24,3,1,0001193125-19-201404,0001193125-19-201404,Matt Cohler,0,0,0,1
1543151,director,graves,2019-05-24,1,1,0001193125-19-157213,0001193125-19-157213,Ryan Graves,0,0,0,1
1543151,director,huffington,2019-07-24,3,1,0001193125-19-201403,0001193125-19-201403,Arianna Huffington,0,0,0,1
1543151,director,kalanick,2019-12-26,2,1,0001552781-19-000515,0001552781-19-000515,Travis Kalanick,0,0,0,1
1543151,director,sugar,2019-05-24,2,1,0001193125-19-157213,0001193125-19-157213,Ron Sugar,0,0,0,1
1543151,director,thrive,2019-07-24,1,1,0001193125-19-201403,0001193125-19-201403,Given Thrive,0,0,0,1
