accession,fcc_form499,section_text
0000896878-22-000003,0,"Amendment to Non-Employee Director Compensation Program On January 20, 2022, Intuit’s Board of Directors approved an amended Non-Employee Director Compensation Program, effective January 20, 2022, and attached to this Report as Exhibit 99.01."
0000896878-23-000016,0,"On May 4, 2023, the Board of Directors (the “Board”) of Intuit Inc. (the “Company”) appointed Ryan Roslansky and Eric S. Yuan as directors of the Company, and the number of directors constituting the full Board was increased from nine to eleven. Mr. Roslansky was appointed to serve on the Acquisition Committee and Mr. Yuan was appointed to serve on the Audit and Risk Committee and the Nominating and Governance Committee of the Board. Each of Mr. Roslansky and Mr. Yuan will receive compensation f"
0000896878-24-000021,0,"On May 2, 2024, the Board of Directors (the “Board”) of Intuit Inc. (the “Company”) appointed Vasant Prabhu as a director of the Company, and the number of directors constituting the full Board was increased from 11 to 12. Mr. Prabhu was appointed to serve on the Acquisition Committee and the Audit and Risk Committee of the Board. Mr. Prabhu will receive compensation for services as a non-employee director of the Company consistent with the compensation generally provided to other non-employee d"
0000896878-24-000032,0,"On July 24, 2024, the Board of Directors (the “Board”) of Intuit Inc. (the “Company”) appointed Forrest Norrod as a director of the Company, and the number of directors constituting the full Board was increased from 12 to 13. Mr. Norrod was appointed to serve on the Acquisition Committee and the Audit and Risk Committee of the Board. Mr. Norrod will receive compensation for services as a non-employee director of the Company consistent with the compensation generally provided to other non-employe"
0000896878-24-000041,0,"Amendment to Non-Employee Director Compensation Program On October 31, 2024, Intuit’s Board of Directors approved an amended Non-Employee Director Compensation Program, effective January 23, 2025, and attached to this Report as Exhibit 99.01."
0000930413-15-002576,0,"On May 19, 2015, we held our 2015 Annual Meeting of Stockholders (the “2015 Annual Meeting”). At the 2015 Annual Meeting, our stockholders approved the Sirius XM Holdings Inc. 2015 Long-Term Stock Incentive Plan (the “2015 Plan”), which had been previously approved by our Board of Directors, subject to stockholder approval. The 2015 Plan provides for the granting of stock options, restricted stock, restricted stock units, stock appreciation rights and other stock-based awards (including performa"
0001140361-12-050307,0,"The disclosure set forth above under item 1.01, which disclosure describes certain compensatory arrangements of executive officers and other employees of the Company, is incorporated by reference under this item."
0001140361-13-012917,0,"The disclosure set forth above under item 1.01, which disclosure describes certain compensatory arrangements of executive officers and other employees of the Company, is incorporated by reference under this item."
0001140361-20-010932,0,"On May 6, 2020, the Company and Rafael Santana, its President and CEO, signed a severance agreement. The material terms of the agreement are substantially the same as the February 25, 2019 summary of employment terms by which Mr. Santana joined the Company following the GE Transportation merger, except that upon termination of Mr. Santana’s employment by the Company other than for “cause” (as defined) or by Mr. Santana for “good reason” (as defined) Mr. Santana will be entitled to severance bene"
0001140361-20-027975,0,"On December 7, 2020, Lee C. Banks was elected to serve as a member of the board of directors of Westinghouse Air Brake Technologies Corporation (“Wabtec”). Mr. Banks will join the class of directors whose term expires in 2023. Reference is made to the press release filed as Exhibit 99.1 to this Form 8-K, which is incorporated by reference herein. Mr. Banks will receive compensation in the same manner as Wabtec’s other non-employee directors, as described in Wabtec’s definitive proxy statement on"
0001140361-21-023780,0,"On July 8, 2021, Byron Foster was elected to serve as a member of the board of directors of Westinghouse Air Brake Technologies Corporation (“Wabtec”). Mr. Foster will join the class of directors whose term expires in 2023. Reference is made to the press release filed as Exhibit 99.1 to this Form 8-K, which is incorporated by reference herein. Mr. Foster will receive compensation in the same manner as Wabtec’s other non-employee directors, as described in Wabtec’s definitive proxy statement on S"
0001140361-22-013268,0,"On March 31, 2022, the Board of Directors (the “ Board ”) of Westinghouse Air Brake Technologies Corporation (the “ Company ”) approved an amendment and restatement of the 2011 Stock Incentive Plan (the “ Plan ”). The Plan was last amended and restated in 2020 and approved by the shareholders of the Company on May 15, 2020. The amended and restated Plan replaces automatic vesting of awards upon a “Section 11 Event” (as defined under the Plan) with so-called “double trigger” vesting if awards rem"
0001140361-22-024697,0,"On July 1, 2022, Beverly Babcock was elected to serve as a member of the board of directors of Westinghouse Air Brake Technologies Corporation (“Wabtec”). Ms. Babcock will join the class of directors whose term expires in 2024. Reference is made to the press release filed as Exhibit 99.1 to this Form 8-K, which is incorporated by reference herein. Ms. Babcock will receive compensation in the same manner as Wabtec’s other non-employee directors, as described in Wabtec’s definitive proxy statement"
0001091667-07-000230,1,"(e) Material change to existing compensatory plans of certain officers (1) The Compensation and Benefits Committee of the Board of Directors (the ""Committee"") and the Board of Directors of Charter Communications, Inc. (the ""Company) have approved the 2008 Executive Bonus Plan (the ""Plan""), including the performance metrics and target amounts, for certain officers of the Company. The performance metrics and target amounts are generally consistent with previously disclosed awards and grants. Howev"
0001091667-21-000029,1,"above (the “Press Release”). The Press Release is attached hereto as Exhibit 99.1. The information contained in this Item 7.01 of this Current Report on Form 8-K, including the Press Release, shall not be deemed “filed” for the purposes of Section 18 of the Securities Exchange Act of 1934, as amended, or otherwise subject to the liabilities of that Section. Further, such information shall not be deemed incorporated by reference into any reports or filings with the Securities and Exchange Commiss"
0001193125-06-187910,0,". On September 7, 2006, the Company’s Board of Directors appointed Mr. Maynard Webb to serve as a Class II member of the Company’s Board of Directors, with a term expiring at the 2009 annual meeting of stockholders, and increased the size of the Board of Directors from eight (8) to nine (9) directors. Mr. Webb was appointed on the recommendation of the Nominating and Corporate Governance Committee. The Board of Directors determined that Mr. Webb has no material relationship with the Company and "
0001123360-11-000082,0,"On September 27, 2011, Global Payments Inc. (the “Company”) held its 2011 Annual Meeting of Shareholders (the “Annual Meeting”). At the Annual Meeting, the Company's stockholders approved the Global Payments Inc. 2011 Incentive Plan (the “Incentive Plan”), a plan that provides for grants of equity and employees, officers, and directors of the Company. A total of 7,000,000 shares of the Company's common stock were reserved and made available for issuance pursuant to awards granted under the Incen"
0000892569-06-001297,0,"In connection with the Asset Contribution, and the proposed merger of FNF with and into FIS, on October 25 2006, William P. Foley, II became the Executive Chairman, Alan L. Stinson became the Executive Vice President—Finance, Brent Bickett became the Executive Vice President—Strategic Planning and Michael L. Gravelle became the Executive Vice President—Legal, of FIS. Additionally, on October 25, 2006, Richard N. Massey joined the board of directors of FIS. Biographical and other information requ"
0000892569-06-001310,0,"The description of the material terms of the employment agreements between FIS and Messrs. William P. Foley, II, Alan L. Stinson, Brent B. Bickett and Michael L. Gravelle provided in Item 1.01 of this report is incorporated by reference in response to this Item 5.02. Table of Contents"
0000892569-08-000425,0,"Compensatory Arrangements of Certain Officers Grants of Restricted Stock On March 20, 2008, the Company granted restricted shares of its common stock, $0.01 par value per share, to the following officers in the amounts set forth opposite their names: Recipient Shares William P. Foley, II 25,800 Lee A. Kennedy 27,900 Jeffrey S. Carbiener 10,600 Brent B. Bickett 9,000 Alan L. Stinson 4,500 The shares of restricted stock were granted pursuant to the Company’s Certegy Inc. Stock Incentive Plan and t"
0001136893-22-000134,0,"(e) On May 25, 2022, at the Annual Meeting of Shareholders (the “Annual Meeting”) of Fidelity National Information Services, Inc. (the “Company”), the shareholders of the Company approved the Fidelity National Information Services, Inc. 2022 Omnibus Incentive Plan (the “2022 Omnibus Plan”). A description of the material terms of the 2022 Omnibus Plan is set forth in the Company’s Definitive Proxy Statement for the Annual Meeting filed with the Securities and Exchange Commission (the “Commission”"
0001104659-16-087730,0,"On January 4, 2016, Seagate Technology plc (the “Company”) appointed Albert A. “Rocky” Pimentel to the position of Executive Vice President. In his new role, Mr. Pimentel will have responsibility for a broad range of strategic projects. Mr. Pimentel’s former responsibilities as President, Global Markets and Customers, will immediately transition to William D. Mosley, President, Operations, and Technology. Mr. Mosley, aged 49, has served as President, Operations and Technology since October 2013 "
0000950103-23-008707,1,"At our annual meeting of shareholders held on June 7, 2023 (the “annual meeting”), the shareholders of Comcast Corporation (the “Company”) approved (i) the adoption of the Comcast Corporation 2023 Omnibus Equity Incentive Plan (the “Omnibus Plan”) and (ii) amendments to the Comcast Corporation 2002 Employee Stock Purchase Plan (the “Comcast ESPP” and, together with the Omnibus Plan, the “Plans”), which were both unanimously approved by the Company’s Board of Directors on March 1, 2023, subject t"
0000950103-25-003639,1,"In connection with Comcast Corporation’s planned spin-off of a strong portfolio of cable channels and complementary digital assets (“SpinCo”), Comcast announced on March 19, 2025 that David Novak, a director of Comcast, will become non-executive Chairman of the Board of Directors of SpinCo upon completion of the spin-off, which is expected to occur by the end of 2025. At such time, Mr. Novak will vacate his current position on Comcast’s Board of Directors. The information contained in Exhibit 99"
0001193125-23-171171,1,"As noted below under Item 5.07, at the Annual Meeting of Stockholders (the “Annual Meeting”) of T-Mobile US, Inc. (the “Company”) held on June 16, 2023, the Company’s stockholders approved the T-Mobile US, Inc. 2023 Incentive Award Plan (the “Incentive Plan”) and the T-Mobile US, Inc. Amended and Restated 2014 Employee Stock Purchase Plan (the “ESPP” and, together with the Incentive Plan, the “Plans”) and the Plans became effective. The Incentive Plan and the ESPP were adopted by the Board of Di"
0001104659-14-035262,0,"On April 30, 2014, in order to provide Mr. Lloyd M. Yates with the same severance protection that is provided to other executive officers who report to the Chief Executive Officer, Duke Energy Corporation (the “Corporation”) entered into a Change in Control Agreement (the “Agreement”) with Mr. Yates, effective July 3, 2014. In addition, effective July 3, 2014, Mr. Yates automatically will become a “Tier I” participant under the terms of the Duke Energy Corporation Executive Severance Plan (the “"
0001193125-16-467698,0,"In connection with certain awards that may be granted from time to time by the Company under the Duke Energy Corporation 2015 Long-Term Incentive Plan, the Company is filing the Performance Award Agreement and Restricted Stock Unit Award Agreement attached as Exhibits 10.1 and 10.2, respectively, and incorporated by reference into this Item 5.02 as though fully set forth herein."
0001373715-23-000016,0,"On January 24, 2023, the Board of Directors of ServiceNow promoted Chirantan “CJ” Desai, 52, to President and Chief Operating Officer, effective immediately. Mr. Desai’s biographical information and compensation information are included in the Company's proxy statement for its 2022 annual meeting of shareholders. There are no arrangements or understandings between Mr. Desai and any other person pursuant to which Mr. Desai was promoted as President and Chief Operating Officer. There are no family"
0001193125-22-244792,0,"Amended and Restated Severance Benefit Plan On September 13, 2022, the Compensation Committee of the Board of Directors of Roku, Inc. (the “ Company ”) amended and restated the Company’s Amended and Restated Severance Benefit Plan (the “ Restated Plan ”) to make certain administrative changes, definitional updates and clarifications, revisions to certain severance benefits in connection with a Non-Change in Control Termination and a Change in Control Termination, specific reference to the Compan"
0001428439-23-000032,0,"Employment Arrangement with Named Executive Officer On Augu st 9, 2023, Roku DX UK Ltd, a wholly owned subsidiary of Roku, Inc. (the “Company”), entered into an employment contract (the “Employment Contract”) with Gidon Katz, the Company’s President, Consumer Experience, effective August 1, 2023 (the “Effective Date”), due to Mr. Katz’s relocation from the United States to the United Kingdom. Under the terms of the Employment Contract, Mr. Katz will (i) continue to have an annual base salary of "
0001428439-24-000027,0,"On June 6, 2024, Roku, Inc. (“ Roku ”) held its annual meeting of stockholders via a live webcast (the “ Annual Meeting ”). At the Annual Meeting, Roku’s stockholders approved four proposals (as described in Item 5.07 below), including approval of the Roku, Inc. Amended and Restated 2017 Equity Incentive Plan (the “ Restated 2017 Plan ”), which, among other things, extends the end date of the “evergreen” provision for future automatic annual increases in the number of shares available for grant "
0001609711-22-000092,1,"Effective July 7, 2022, Roger Chen, the Chief Operating Officer of GoDaddy Inc. (the “Company”), entered into a new employment agreement with the Company and certain of its affiliates (the “Employment Agreement”). The Employment Agreement provides Mr. Chen with a one-time payment of $150,000 to support his relocation from China to Singapore. The summary of the Employment Agreement set forth above does not purport to be complete and is qualified in its entirety by reference to the full text of th"
0001645590-22-000055,0,"Effective as of September 22, 2022, the Board of Directors (the “Board”) of Hewlett Packard Enterprise Company (“Hewlett Packard Enterprise”) has appointed Regina E. Dugan, President and CEO of Wellcome Leap Inc., a U.S. non-profit organization that accelerates discovery and innovation for the benefit of human health, to serve as a director of Hewlett Packard Enterprise. In addition, Ms. Dugan was appointed to serve as a member the Technology Committee of the Board, effective as of the same date"
0001645590-23-000005,0,"Effective as of January 10, 2023, the Board of Directors (the “Board”) of Hewlett Packard Enterprise Company (“Hewlett Packard Enterprise”) has appointed Frank A. D'Amelio, the former Executive Vice President and CFO of Pfizer Inc., a research-based global biopharmaceutical company, to serve as a director of Hewlett Packard Enterprise. In addition, Mr. D'Amelio was appointed to serve as a member the Audit Committee of the Board, effective as of the same date. In consideration of his service duri"
0001645590-23-000042,0,"On April 5, 2023, at the 2023 annual meeting of stockholders (the ""Annual Meeting"") of Hewlett Packard Enterprise Company (the ""Company""), the Company's stockholders approved an amendment (""Amendment No. 2"") to the Hewlett Packard Enterprise Company 2021 Stock Incentive Plan (the ""2021 Plan"") to increase the number of shares of common stock reserved for issuance under the 2021 Plan by 18 million (18,000,000) shares. The Company's Board of Directors (the ""Board"") approved Amendment No. 2 to the 2"
0001645590-24-000078,0,"On April 10, 2024, at the 2024 annual meeting of stockholders (the “2024 Annual Meeting”) of Hewlett Packard Enterprise Company (the “Company”), the Company's stockholders approved an amendment (“Amendment No. 3”) to the Hewlett Packard Enterprise Company 2021 Stock Incentive Plan (the “2021 Plan”) to increase the number of shares of common stock reserved for issuance under the 2021 Plan by 22 million (22,000,000) shares. The Company's Board of Directors (the “Board”) approved Amendment No. 3 to"
0001645590-25-000081,0,"The information set forth in Item 1.01 is incorporated herein by reference. Pursuant to the Cooperation Agreement, Mr. Calderoni has been appointed to the Board, the Strategy Committee (as chair) and the Integration Committee (as member) of the Board effective immediately. A copy of the press release announcing the appointment of Mr. Calderoni is attached hereto as Exhibit 99.1. In consideration of his service during the remainder of the current Board year, Mr. Calderoni will receive pro-rata po"
0001193125-22-226462,0,"Appointment of New Director Effective August 19, 2022, the Board of Directors (the “ Board ”) of Okta, Inc. (the “ Company ”), upon the recommendation of the Board’s Nominating and Corporate Governance Committee, expanded the size of the Board to ten members and appointed Emilie Choi to the Board as a Class I director. Ms. Choi will serve until the Company’s 2024 Annual Meeting of Stockholders or until her successor has been duly elected and qualified. There is no arrangement or understanding be"
