accession,sub_row,person,title,role_class,action,verb,sentence
0001193125-06-123693,1,Steve Cakebread,Executive Vice President and Chief Financial Officer,CFO,departure,retire,(the “Company”) issued a press release announcing that Steve Cakebread will retire as Executive Vice President and Chief Financial Officer of the Company by the end of the 2006 calendar year.
0001193125-06-174639,1,Steve Cakebread,Chief Financial Officer,CFO,departure,resignation,Steve Cakebread has withdrawn his resignation and will continue to serve as the Company’s Executive Vice President and Chief Financial Officer.
0001193125-06-187910,1,Mr. Maynard,director,director,election,elect,"On September 7, 2006, the Company’s Board of Directors appointed Mr. Maynard Webb to serve as a Class II member of the Company’s Board of Directors, with a term expiring at the 2009 annual meeting of stockholders, and increased the size of the Board of Directors from eight (8) to nine (9) directors."
0001193125-06-187910,2,Mr. Webb,director,director,election,elect,Mr. Webb has not been named to any board committees at this time.
0001193125-07-072263,1,,director,director,election,elect,"The following table sets forth the bonus amounts paid on March 30, 2007 to the Company’s named executive officers as approved by the Compensation Committee of the Company’s Board of Directors and the Company’s Chief Executive Officer: Named Executive Officer Position Bonus Amount Marc Benioff Chairman of the Board and Chief Executive Officer $ 0 Steve Cakebread (1) Executive Vice President and Chief Financial Officer $ 184,476 Kenneth Juster (2) Executive Vice President of Law, Policy, and Corpo"
0001193125-07-078925,1,William Dewes,principal accounting officer,PAO,appointment,appointed,"(the “Company”) appointed William Dewes to serve as the Company’s principal accounting officer effective as of April 9, 2007."
0001193125-07-078925,2,Steve Cakebread,Executive Vice President and Chief Financial Officer,CFO,appointment,to serve as,"Steve Cakebread, Executive Vice President and Chief Financial Officer, will continue to serve as the Company’s principal financial officer."
0001193125-07-078925,3,William Dewes,principal accounting officer,PAO,appointment,appointment,Mr. Dewes will not be receiving any additional compensation for his appointment as principal accounting officer.
0001193125-07-134937,1,Sanford Robertson,director,director,election,elect,"Appointment of Lead Director On June 7, 2007, our Board of Directors appointed Sanford Robertson as its lead independent director."
0001193125-07-155725,1,William Dewes,"Chief Accounting Officer, and principal accounting officer",PAO,departure,resigned,"On July 12, 2007, William Dewes, Senior Vice President of Finance and Chief Accounting Officer, and principal accounting officer, resigned from salesforce.com, inc."
0001193125-07-155725,2,William Dewes,Senior Vice President Chief Accounting Officer principal accounting officer,PAO,departure,resignation,"The resignation is for personal reasons and does not involve any controversy or disagreement with the Company regarding the Company’s financial reporting or accounting policies, practices or principles."
0001193125-07-208064,1,Mr. John,President,president,departure,resigned,"On September 26, 2007, Mr. John Freeland resigned from his position as President, Worldwide Operations of salesforce.com, inc."
0001193125-07-208064,2,Mr. Freeland,directors,director,departure,resignation,"In addition, under the Agreement, Mr. Freeland has agreed to a customary release of any claims he has or may have against the Company and its past and present directors, officers and employees, and to customary restrictions on his activities and use of the Company’s proprietary information following his resignation."
0001193125-07-210111,1,,director,director,election,elect,"The following table sets forth the bonus amounts paid to the Company’s named executive officers as approved by the Compensation Committee of the Company’s Board of Directors and the Company’s Chief Executive Officer: Named Executive Officer Position Bonus Amount Marc Benioff Chairman of the Board and Chief Executive Officer $ 0 Steve Cakebread Executive Vice President and Chief Financial Officer $ 67,500 Kenneth Juster Executive Vice President of Law, Policy, and Corporate Strategy $ 45,000 Jim "
0001193125-08-050327,1,Graham Smith,"Chief Financial Officer, principal financial officer",CFO,appointment,appointed,"(the “Company”) appointed Graham Smith as the Company’s Chief Financial Officer, principal financial officer and principal accounting officer, effective immediately."
0001193125-08-050327,2,Steve Cakebread,President and Chief Strategy Officer,president,departure,succeed/replace,"Mr. Smith replaces Steve Cakebread, who will now serve as the Company’s President and Chief Strategy Officer."
0001193125-08-071264,1,,director,director,election,elect,"The following table sets forth the bonus amounts paid on March 31, 2008 to the Company’s named executive officers as approved by the Compensation Committee of the Company’s Board of Directors and the Company’s Chief Executive Officer: Named Executive Officer Position Bonus Amount Marc Benioff Chairman of the Board and Chief Executive Officer $ 0 Steve Cakebread (1) President and Chief Strategy Officer (2) $ 262,500 Kenneth Juster (3) Executive Vice President of Law, Policy, and Corporate Strateg"
0001123360-12-000041,1,Joseph Hyde,President,president,departure,resign,"Joseph Hyde will resign his position as President - International effective August 1, 2012."
0001193125-05-239862,1,Charles T. Doyle,board,director,departure,resignation,"On December 9, 2005, Certegy Inc. (“Certegy”) announced the resignation of board member Charles T. Doyle, effective December 8, 2005."
0001104659-06-006239,1,Richard N. Child,directors,director,departure,resigned,"In connection therewith, the following directors of the registrant resigned on February 1, 2006: Richard N. Child, Kathy Brittain White, and Kenneth A. Guenther."
0001104659-06-006239,2,Lee A. Kennedy,President and Chief Executive Officer,CEO,appointment,appointed,"In their place, the registrant appointed Lee A. Kennedy as its President and Chief Executive Officer, and Jeffrey S. Carbiener as its Executive Vice President and Chief Financial Officer, effective February 1, 2006."
0001104659-06-006239,3,Lee A. Kennedy,director and the registrant’s Chief Executive Officer,CEO,appointment,appointment,"Lee A. Kennedy , a director and the registrant’s President and Chief Executive Officer, served as a director and the registrant’s Chief Executive Officer from March 2001 to February 2006, and served as the registrant’s Chairman from his appointment to this position in February 2002 until February 2006."
0000892569-06-000649,1,James K. Hunt,director,director,election,elect,"Election of Directors On April 26, 2006, James K. Hunt was elected to the Board of Directors of Fidelity National Information Services, Inc. (“FIS” or the “Company”) to fill the vacancy created by the resignation of Terry Christensen."
0000892569-06-000649,2,James K. Hunt,director,director,election,elect,Mr. Hunt has not been appointed to any committees of the Board of FIS at this time.
0000892569-06-000846,1,Phillip B. Lassiter,Board of Directors,director,departure,resigned,"(a) Phillip B. Lassiter resigned from the Board of Directors of Fidelity National Information Services, Inc. (“FIS”), effective as of July 1, 2006."
0000892569-06-000846,2,Robert M. Clements,director,director,election,elect,"(b) On July 1, 2006, Robert M. Clements was elected to the Board of Directors of FIS."
0000892569-06-000846,3,Fidelity National Title,Board to join the FIS Board,director,departure,resign,"Mr. Clements was previously elected to the Board of Directors of Fidelity National Title Group, Inc. (“FNT”), an affiliate of FIS, in April 2006, but will resign from the FNT Board to join the FIS Board."
0000892569-06-000846,4,Robert M. Clements,director,director,election,elect,Mr. Clements was appointed to the audit committee of the Board of Directors of FIS.
0000892569-07-001428,1,Gary A. Norcross,President,president,appointment,APPOINTMENT,"APPOINTMENT OF CERTAIN OFFICERS; COMPENSATORY ARRANGEMENTS OF CERTAIN OFFICERS Effective November 16, 2007, Gary A. Norcross, the President of the Company’s Integrated Financial Solutions division, was promoted to President and Chief Operations Officer of the Transaction Processing Services segment, and Francis R. Sanchez, the President of the Company’s Enterprise Banking Solutions division, was promoted to President of Strategic Development."
0000892569-08-000017,1,Lee A. Kennedy,Chief Executive Officer,CEO,departure,retirement,"Prior to the amendment, SERP benefits were payable upon normal or early retirement and were payable in a life annuity, a joint and survivor annuity or other actuarially equivalent forms, including a lump sum."
0001136893-21-000145,1,Mark J. Hawkins,Board of Directors,director,departure,resignation,"On June 8, 2021, the Board of Directors of Fidelity National Information Services, Inc. (“FIS”) appointed Mark J. Hawkins to its Board of Directors to serve until the next annual meeting of shareholders of the Company, or until his earlier resignation or removal."
0001136893-21-000196,1,Fidelity National Information,Board,director,departure,resignation,"On August 31, 2021, Mark J. Hawkins, a Director on the Board of Directors (the “ Board ”) of Fidelity National Information Services, Inc. (the “ Corporation ”), notified the Corporation of his resignation from the Board."
0001136893-21-000196,2,Mark J. Hawkins,Director Board of Directors,director,departure,resignation,Mr. Hawkins letter of resignation is attached as Exhibit 99.1.
0001136893-21-000203,1,Fidelity National Information,Chief Administrative Officer,other_exec,appointment,appointed,"The Board of Directors of Fidelity National Information Services, Inc. (the “Corporation”) appointed Stephanie Ferris to be Chief Administrative Officer of the Corporation effective September 2, 2021."
0001136893-22-000005,1,Bruce Lowthers,President,president,departure,resignation,"On January 11, 2022, Bruce Lowthers provided notice of his resignation from his position as President of Fidelity National Information Services, Inc. (the “Corporation”) effective on January 31, 2021."
0001136893-22-000028,1,Fidelity National Information,President,president,appointment,appointed,"Effective February 8, 2022, the Board of Directors of Fidelity National Information Services, Inc. (the “Corporation”) appointed Stephanie Ferris as the Corporation’s President."
0001136893-22-000056,1,Kenneth T. Lamneck,CEO,CEO,departure,resignation,"On March 16, 2022, the Board of Directors of Fidelity National Information Services, Inc. (“FIS”) appointed Vijay D’Silva and Kenneth T. Lamneck to its Board of Directors to serve until the next annual meeting of shareholders of the Company on May 25, 2022, or until their respective earlier resignation or removal."
0001136893-22-000056,2,Insight Enterprises,Chief Executive Officer and President,CEO,departure,retired,"Mr. Lamneck served as Chief Executive Officer and President of Insight Enterprises (NASDAQ:NSIT) from January 2010 until he retired from that position on December 31, 2021."
0001136893-22-000056,3,Kenneth T. Lamneck,"CEO, Mr. Lamneck serves as a special advisor and Executive Vice President",CEO,departure,retirement,"Since his retirement as CEO, Mr. Lamneck serves as a special advisor and Executive Vice President of Insight Enterprises."
0001136893-22-000155,1,Martin R. Boyd,President,president,departure,retire,"Martin R. Boyd provided notice of his intention to retire from his position as President, Banking Solutions of Fidelity National Information Services, Inc. (“Company”), effective September 1, 2022, after serving in various roles with the Company for over 25 years."
0001136893-22-000173,1,Gary A. Norcross,Chief Executive Officer,CEO,departure,step down,"On October 18, 2022, Fidelity National Information Services, Inc. (the “Company”) announced that Gary A. Norcross will step down from his position as Chief Executive Officer, effective December 31, 2022 (the “Transition Date”) and assume a new role as Executive Chairman of the Company’s Board of Directors on January 1, 2023."
0001136893-22-000173,2,Stephanie L. Ferris,director,director,election,elect,"The Company also announced that Stephanie L. Ferris, currently the Company’s President, has been appointed to the Company’s Board of Directors, effective October 18, 2022 and Stephanie Ferris will assume the role of President and Chief Executive Officer, effective January 1, 2023."
0001193125-22-305874,1,,director,director,election,elect,"Director Appointments Pursuant to the Cooperation Agreement, effective December 19, 2022, the New Director was appointed to the Board, with an initial term expiring at the 2023 Annual Meeting."
0001193125-22-305874,2,Proxy Statement,director,director,election,elect,There are no arrangements or understandings between the New Director and any other person pursuant to which the New Director was appointed as a director other than with respect to the matters referred to in
0001193125-23-011458,1,Fidelity National Information,director,director,election,elect,"Director Appointments On January 20, 2023, Fidelity National Information Services, Inc. (the “ Company ”) announced that Lee Adrean and Mark D. Benjamin (each a “ New Director ”) were appointed to the board of directors of the Company (the “ Board ”), effective as of January 20, 2023, each with an initial term expiring at the 2023 annual meeting of shareholders (the “ 2023 Annual Meeting ”)."
0001193125-23-011458,2,Lee Adrean,director,director,election,elect,There are no arrangements or understandings between any New Director and any other person pursuant to which such New Director was appointed as a director (except as set forth below with respect to Mr. Benjamin).
0001193125-23-011458,3,Mark A. Ernst,Board,director,departure,stepping down,Mr. Ernst advised the Company that he is stepping down from the Board in order to avoid the distraction and expense of a potential litigation.
0001193125-23-011458,4,Mark A. Ernst,Board,director,departure,resignation,"In connection with Mr. Ernst’s resignation, as described above, the Board has appointed Mr. Benjamin as a mutually agreed replacement director, pursuant to the terms of that certain cooperation agreement, dated as of December 14, 2022, between the Company, D. E. Shaw Oculus Portfolios, L.L.C. and D. E. Shaw Valence Portfolios, L.L.C., entities within the D. E. Shaw group."
0001193125-23-015151,1,Keith W. Hughes,"Board On January 19, 2023, Keith W. Hughes, a director",director,departure,Departure,"Departure of Keith W. Hughes from the Board On January 19, 2023, Keith W. Hughes, a director on the board of directors (the “ Board ”) of Fidelity National Information Services, Inc. (the “ Company ”), notified the Company of his resignation from the Board."
0001193125-23-015151,2,Keith W. Hughes,Board,director,departure,retire,"As previously disclosed last year, Mr. Hughes had been scheduled to retire from the Board and not stand for re-election at the Company’s upcoming annual meeting of shareholders in accordance with Company’s mandatory retirement age policies."
0001136893-23-000069,1,Ido Gileadi,"Executive Vice President, Chief Operating Officer",COO,departure,cease to serve,"In connection with a planned reorganization of certain senior management positions, on April 17, 2023, Fidelity National Information Services, Inc. (the “Company”) announced that Ido Gileadi, Corporate Executive Vice President, Chief Operating Officer would transition from the Company and will cease to serve as Corporate Executive Vice President, Chief Operating Officer, effective December 31, 2023 (the “Transition Date”)."
0001136893-23-000090,1,Fidelity National Information,Chief Accounting Officer,PAO,appointment,appointed,"Effective as of May 22, 2023, the Board of Directors of Fidelity National Information Services, Inc. (the “Company”) appointed Christopher A. Thompson as the Chief Accounting Officer of the Company."
0001136893-23-000090,2,Finance Segment,Chief Accounting Officer,PAO,appointment,appointment,"Mr. Thompson, age 59, served as Senior Vice President, Finance Segment of the Company from March 2023 until his appointment as Chief Accounting Officer of the Company on May 22, 2023."
0001136893-23-000090,3,Christopher A. Thompson,Chief Accounting Officer,PAO,appointment,appointment,"In connection with Mr. Thompson’s appointment as Chief Accounting Officer of the Company, Thomas K. Warren has left his position as Chief Accounting Officer of the Company, effective as of May 22, 2023, to pursue other opportunities."
0001193125-23-218012,1,Fidelity National Information,Chief Financial Officer,CFO,appointment,appointed,"Effective as of August 21, 2023, the Board of Directors of Fidelity National Information Services, Inc. (the “Company”) appointed James Kehoe as the Chief Financial Officer of the Company."
0001193125-23-218012,2,James Kehoe,Chief Financial Officer,CFO,appointment,appointment,"In connection with Mr. Kehoe’s appointment as Chief Financial Officer of the Company, Erik D. Hoag has left his position as Chief Financial Officer of the Company, effective as of August 21, 2023 to pursue other opportunities."
0001193125-24-044681,1,Erik D. Hoag,Chief Financial Officer,CFO,appointment,appointment,"On August 21, 2023, Fidelity National Information Services, Inc. (the “Company” or “FIS”) announced that Erik D. Hoag had left the position of Chief Financial Officer of the Company in connection with the Company’s appointment of James Kehoe as Chief Financial Officer of the Company but would remain with the Company as a non-executive officer through the end of the year."
0001193125-24-044681,2,Erik D. Hoag,Chief Integration Officer,other_exec,appointment,appointed,"Mr. Hoag was appointed as Chief Integration Officer of the Company, effective February 20, 2024."
0001193125-24-044681,3,Ido Gileadi,Chief Operating Officer,COO,departure,cease to serve,"On April 17, 2023, the Company announced that Ido Gileadi would transition from the Company and cease to serve as Chief Operating Officer effective December 31, 2023."
0001193125-24-069200,1,Ellen Alemany,Board of Directors (the “Board,director,departure,not to stand for re-election,"On March 11, 2024, Fidelity National Information Services, Inc. (the “Company”) was notified by Ellen Alemany, a member of the Company’s Board of Directors (the “Board”), of her decision not to stand for re-election at the Company’s 2024 annual meeting of shareholders."
0001193125-24-088508,1,Brian T. Shea,Board of Directors (the “Board,director,departure,not to stand for re-election,"On April 1, 2024, Fidelity National Information Services, Inc. (the “Company”) was notified by Brian T. Shea, a member of the Company’s Board of Directors (the “Board”), of his decision not to stand for re-election at the Company’s 2024 annual meeting of shareholders."
0001104659-15-052507,1,Philip G. Brace,President,president,appointment,Appointment,"(c) Appointment of President of CSES On July 22, 2015, Philip G. Brace was appointed President of the Cloud Systems and Electronics Solutions group (“CSES”) of Seagate Technology plc (the “Company”)."
0001104659-15-052507,2,Silicon Solutions,President,president,appointment,promoted,"Mr. Brace, age 44, joined the Company on September 2, 2014, as Executive Vice President and Chief Technology Officer of Silicon Solutions, and was promoted to Interim President of CSES on April 30, 2015."
0001104659-15-052507,3,Philip G. Brace,President,president,appointment,appointment,"No changes were made to Mr. Brace’s compensation arrangements in connection with his appointment as President, CSES."
0001104659-15-057159,1,Philip G. Brace,President,president,appointment,appointed,"Mr. Brace was appointed the Company’s President of Cloud Systems and Electronics Solutions (“CSES”) on July 22, 2015."
0001104659-15-057159,2,Philip G. Brace,President,president,appointment,appointment,No other changes were made to Mr. Brace’s compensation arrangements in connection with his appointment as President of CSES.
0001104659-16-129505,1,William D. Mosley,President and Chief Operating Officer,COO,appointment,appointed,"On June 27, 2016, Seagate Technology plc (the “Company”) appointed William D. Mosley to the position of President and Chief Operating Officer."
0001104659-16-131749,1,Kris Onken,Board,director,departure,retire,"On July 6, 2016, Kris Onken notified the Board of Directors (the “Board”) of Seagate Technology plc (the “Company”) that she will retire from the Board, and will not stand for reelection at the 2016 Annual General Meeting of Shareholders (the “2016 AGM”)."
0001104659-16-135046,1,William D. Mosley,President and Chief Operating Officer,COO,appointment,appointed,"Mr. Mosley was appointed the Company’s President and Chief Operating Officer on June 27, 2016."
0001104659-16-135046,2,William D. Mosley,President and Chief Operating Officer,COO,appointment,appointment,No other changes were made to Mr. Mosley’s compensation arrangements in connection with his appointment as President and Chief Operating Officer.
0001193125-17-013685,1,Mark W. Adams,director,director,election,elect,"On January 19, 2017 (the “ Effective Date ”), the Board of Directors (the “ Board ”) of Seagate Technology plc (“ Seagate ”) appointed Mark W. Adams to serve as a director of Seagate."
0001193125-17-013685,2,Mark W. Adams,director,director,election,elect,Mr. Adams has also been appointed to serve on the Audit Committee of the Board.
0001193125-17-192960,1,Cloud Systems,President,president,departure,will leave,"On June 2, 2017, Seagate Technology plc (the “ Company ”) announced that Philip G. Brace, President, Cloud Systems and Silicon Group, will leave the Company."
0001193125-17-192960,2,Philip G. Brace,President,president,departure,departure,The effective date of his departure has not yet been determined.
0001193125-17-234440,1,William D. Mosley,Board of Directors (the “Board”) appointed William D. Mosley as Chief Executive Officer,CEO,appointment,appointed,"On July 25, 2017 the Company’s Board of Directors (the “Board”) appointed William D. Mosley as Chief Executive Officer, effective October 1, 2017."
0001193125-17-234440,2,William D. Mosley,director,director,election,elect,"The Board also appointed Mr. Mosley as a Director of the Company, effective July 25, 2017."
0001193125-17-234440,3,William D. Mosley,"Chief Executive Officer, however, the Board",CEO,appointment,appointment,"Effective on the date of his appointment as Chief Executive Officer, however, the Board approved an annualized base salary increase to $1,000,000 and bonus target increase to 150% of his base salary."
0001193125-17-234440,4,Stephen J. Luczo,Chief Executive Officer,CEO,departure,step down,"On July 25, 2017, the Company also announced that Stephen J. Luczo will step down from his position as Chief Executive Officer, effective October 1, 2017."
0001193125-17-234440,5,Stephen J. Luczo,Executive Chairman,other_exec,appointment,to serve as,Mr. Luczo will remain with the Company in the role of Executive Chairman and will continue to serve as Chairman of the Board.
0001193125-17-234440,6,Philip G. Brace,President,president,departure,departure,"On July 20, 2017, the Company and Mr. Brace agreed that the effective date of his departure will be October 2, 2017."
0001140859-22-000054,1,Lorence H. Kim,director,director,election,elect,"On September 22, 2022, the Board of Directors (the “Board”) of AmerisourceBergen Corporation (the “Company”) elected Lorence H. Kim, M.D., 48, to serve on the Board, effective October 1, 2022."
0001140859-22-000064,1,Robert P. Mauch,Executive Vice President and Chief Operating Officer,COO,appointment,appointment,"On November 3, 2022, AmerisourceBergen Corporation (the “Company”) announced the appointment of Robert P. Mauch as Executive Vice President and Chief Operating Officer effective October 1, 2022."
0001104659-22-119574,1,Robert P. Mauch,Executive Vice President and Chief Operating Officer,COO,appointment,appointment,the appointment of Robert P. Mauch as Executive Vice President and Chief Operating Officer of the Company.
0001104659-22-119574,2,Robert P. Mauch,Executive Vice President and Chief Operating Officer,COO,appointment,appointment,"At the time of filing of the Original Form 8-K, the Compensation and Succession Planning Committee of the Company’s Board of Directors (the “Committee”) had not yet finalized the compensation arrangements pertaining to Mr. Mauch in connection with his appointment as Executive Vice President and Chief Operating Officer."
0001104659-22-119574,3,Robert P. Mauch,Executive Vice President and Chief Operating Officer,COO,appointment,appointment,"Accordingly, the sole purpose of this Amendment is to provide Mr. Mauch’s compensation in connection with his appointment as Executive Vice President and Chief Operating Officer."
0001104659-22-119574,4,Robert P. Mauch,Executive Vice President and Chief Operating Officer,COO,appointment,appointment,"On November 9, 2022, the Committee approved an increase in compensation for Mr. Mauch in connection with his appointment as Executive Vice President and Chief Operating Officer of the Company."
0001140859-22-000095,1,Redonda G. Miller,director,director,election,elect,"On November 9, 2022, the Board of Directors (the “Board”) of AmerisourceBergen Corporation (the “Company”) elected Redonda G. Miller, M.D., 56, to serve on the Board, effective January 1, 2023."
0001140859-23-000021,1,Jane E. Henney,directors,director,departure,retire,"On January 23, 2023, two members of the Board of Directors (the “Board”) of AmerisourceBergen Corporation (the “Company”), Jane E. Henney, M.D. and Michael J. Long, each informed the Company of their intent to retire as directors at the upcoming Annual Meeting of Stockholders to be held on March 9, 2023 (the “Annual Meeting”)."
0001140859-23-000021,2,Jane E. Henney,Board,director,departure,retire,"Dr. Henney and Mr. Long each indicated an intent to continue to serve as a director of the Company until the Annual Meeting, and advised the Company that there were no disagreements between the Company and them relative to their intent to retire from the Board."
0001140859-23-000125,1,Werner Baumann,director,director,election,elect,"On August 9, 2023, the Board of Directors (the “Board”) of AmerisourceBergen Corporation (the “Company”) elected Werner Baumann, 60, and Lauren Tyler, 61, to serve on the Board, effective October 1, 2023."
0001140859-24-000012,1,Henry W. McGee,Board of Directors,director,departure,retire,"On January 12, 2024, Henry W. McGee, a member of the Board of Directors (the “Board”) of Cencora, Inc. (the “Company”), informed the Board of his intent to retire and not stand for re-election as a director when his term expires at the Company's 2024 Annual Meeting of Stockholders to be held on March 12, 2024 (the “2024 Annual Meeting”)."
0001104659-24-033278,1,Steven H. Collis,the Company’s President and Chief Executive Officer (“CEO”),CEO,departure,succeed/replace,"On March 11, 2024, the Board of Directors (the “Board”) of Cencora, Inc. (the “Company”) unanimously selected Robert P. Mauch to succeed Steven H. Collis as the Company’s President and Chief Executive Officer (“CEO”), effective October 1, 2024 (the “Effective Date”), at which time he will also join the Board."
0001104659-24-033278,2,Steven H. Collis,"CEO since July 2011, will retire from the role of CEO and become Executive Chairman of the Board",CEO,departure,retire,"Mr. Collis, who has served as CEO since July 2011, will retire from the role of CEO and become Executive Chairman of the Board as of the Effective Date, to serve for a period of one year."
0001104659-24-035045,1,Steven H. Collis,Chief Executive Officer (“CEO,CEO,departure,retire,"of the Current Report on Form 8-K filed on March 12, 2024 (the “Original Form 8-K”) by Cencora, Inc. (the “Company”), which disclosed (i) that Steven H. Collis will retire from the role of Chief Executive Officer (“CEO”) effective October 1, 2024 (the “Effective Date”) and become Executive Chairman of the Board of Directors of the Company (the “Board”) as of such date and (ii) the appointment of Robert P. Mauch as the Company’s President and CEO, as of the Effective Date, at which time Mr. Mauch"
0001104659-24-035045,2,Steven H. Collis,President and CEO,CEO,appointment,to serve as,"Pursuant to the Collis Employment Agreement, Mr. Collis will continue to serve as Chairman, President and CEO of the Company until September 30, 2024 (the “Transition Period”)."
0001104659-24-035045,3,Steven H. Collis,Executive Chairman of the Board (the “Executive Chairman,other_exec,appointment,will serve as,"For a period of one year from the Effective Date, Mr. Collis will serve as Executive Chairman of the Board (the “Executive Chairman Period”)."
0001140859-24-000081,1,Gina K. Clark,Executive Vice President and Chief Communications & Administrative Officer,other_exec,departure,retire,"On April 30, 2024, Gina K. Clark, Executive Vice President and Chief Communications & Administrative Officer of Cencora, Inc. (the “Company”), informed the Company that she intends to retire from her position, effective September 30, 2024."
0001140859-24-000081,2,Gina K. Clark,Board of Directors,director,departure,retire,"Ms. Clark’s decision to retire from her position was not the result of any disagreements with the Company’s management or Board of Directors as to any matter relating to the Company’s operations, finances, policies, or practices."
0001104659-24-089929,1,Frank Clyburn,director,director,election,elect,"Director Appointment On August 13, 2024, the Board of Directors (the “Board”) of Cencora, Inc. (the “Company”) appointed Frank Clyburn to serve on the Board (the “Appointment”), with such Appointment to be effective as of October 1, 2024 (the “Effective Date”)."
0001104659-24-089929,2,Frank Clyburn,director,director,election,elect,There are no arrangements or understandings between Mr. Clyburn and any other persons pursuant to which Mr. Clyburn was appointed as a director.
0000950103-06-002700,1,Mr. Lawrence,Executive Vice President and Co-Chief Financial Officer,CFO,departure,retire,"On November 27, 2006, Mr. Lawrence S. Smith, our Executive Vice President and Co-Chief Financial Officer, announced his intention to retire from these positions, effective March 28, 2007."
0000950103-06-002700,2,Mr. Smith,executive officer,other_exec,departure,retirement,"Under the terms of his current employment agreement, which contemplated a potential relinquishment of executive duties by Mr. Smith as he approached retirement age, Mr. Smith is entitled to change his status from executive officer to part-time non-executive employee after December 31, 2006."
0000950103-06-002700,3,Mr. John,"Executive Vice President, Co-Chief Financial Officer and Treasurer",CFO,departure,retire,"On this same date, Mr. John R. Alchin, our Executive Vice President, Co-Chief Financial Officer and Treasurer announced his intention to retire from these positions, effective early in 2008."
0000950103-06-002700,4,Mr. Alchin,Chief Financial Officer,CFO,departure,retires,"Mr. Angelakis will become our Executive Vice President and Co-Chief Financial Officer beginning on March 28, 2007 and will become our Chief Financial Officer on the date that Mr. Alchin retires from his current positions (as described above)."
0000950103-07-003148,1,Mr. John,"Executive Vice President, Co-Chief Financial Officer and Treasurer",CFO,departure,retire,"In our Form 8-K filed November 28, 2006, we reported the decision by Mr. John R. Alchin to retire as our Executive Vice President, Co-Chief Financial Officer and Treasurer."
0000950103-07-003148,2,Mr. Michael,Chief Financial Officer and Treasurer,CFO,appointment,will become,"As previously reported Mr. Michael J. Angelakis became our Executive Vice President and Co-Chief Financial Officer as of March 28, 2007 and will become our Chief Financial Officer and Treasurer effective January 1, 2008."
0000950103-08-002956,1,Ralph J. Roberts,director,director,election,elect,The Board also elected Ralph J. Roberts as Founder and Chairman Emeritus of the Board of Directors in lieu of his current position as Chair of the Executive and Finance Committee of the Board.
0000950103-11-000353,1,Stephen B. Burke,Chief Operating Officer,COO,departure,resigned,"Upon the closing of the NBCUniversal transaction, Stephen B. Burke became NBCUniversal Holdings’ and NBCUniversal’s President and Chief Executive Officer and resigned from his position as our Chief Operating Officer."
0000950103-11-000353,2,Neil Smit,Executive Vice President,other_exec,appointment,appointed,"In addition, upon the closing of the NBCUniversal transaction, Neil Smit was appointed Executive Vice President of Comcast Corporation."
0000950103-11-000772,1,Michael I. Sovern,Board of Directors,director,departure,retire,"In addition, on February 23, 2011, two of the Company’s directors, Julian A. Brodsky and Michael I. Sovern, informed the Board of Directors that they intend to retire, effective as of the date of the Company ’ s 2011 annual meeting of shareholders ."
0001193125-11-254480,1,Decker Anstrom,Board of Directors,director,departure,resigned,"Following over ten years of outstanding service, S. Decker Anstrom, a member of the Board of Directors of Comcast Corporation (the “Company”), the Chair of the Governance and Directors Nominating Committee and a member of the Compensation Committee, resigned from the Board of Directors on September 20, 2011 in order to satisfy other professional commitments that, among other things, will involve significant foreign travel."
0001193125-11-254480,2,Johnathan Rodgers,director,director,election,elect,"On September 22, 2011, Johnathan Rodgers was appointed to the Board of Directors."
0001193125-11-254480,3,Johnathan Rodgers,President and Chief Executive Officer,CEO,departure,retirement,"From January 2004 until his retirement in July 2011, Mr. Rodgers was the President and Chief Executive Officer of TV One, a cable network that delivers real life and entertainment programming from the African American point of view."
0001193125-11-285508,1,Johnathan A. Rodgers,director,director,election,elect,"As previously reported in the Form 8-K filed by Comcast Corporation on September 22, 2011, Johnathan A. Rodgers was appointed to the Comcast Corporation Board of Directors."
0001193125-11-299646,1,Edward D. Breen,Board of Directors,director,departure,resigning,"Following over six years of outstanding service, Edward D. Breen, a member of the Board of Directors of Comcast Corporation (the “Company”), the Governance and Directors Nominating Committee and the Compensation Committee, informed the Company on November 3, 2011 that he would be resigning from the Board of Directors, effective November 11, 2011, for the reasons described in his resignation letter, which is attached as Exhibit 99.1."
0000950103-14-001112,1,Edward D. Breen,director,director,election,elect,"On February 13, 2014, Edward D. Breen was appointed to Comcast Corporation’s Board of Directors and to the Audit and Compensation Committees of the Board."
0000950103-14-001112,2,Edward D. Breen,director,director,departure,resigned,"Mr. Breen previously served as a director of Comcast for over six years until November 2011, when he resigned due to time constraints stemming from his responsibilities as Tyco International Ltd.’s Chairman and Chief Executive Officer."
0000950103-14-001112,3,Edward D. Breen,CEO,CEO,departure,stepped down,Mr. Breen stepped down from his role as Tyco International’s CEO in September 2012 and continues as Chairman of Tyco International’s board of directors.
0000950103-22-017696,1,Michael J. Cavanagh,President,president,appointment,appointed,"On October 11, 2022, Comcast Corporation (the “Company”) appointed Michael J. Cavanagh as the President of the Company, with immediate effect."
0000950103-22-017696,2,Brian L. Roberts,"Chief Executive Officer, but will no longer serve as President",CEO,departure,no longer serve,"Brian L. Roberts will remain as the Company’s Chairman of the Board and Chief Executive Officer, but will no longer serve as President."
