accession,section_text
0001193125-16-696990,"On August 29, 2016, United Continental Holdings, Inc. (the “Company”) announced that J. Scott Kirby was appointed President of the Company, effective at 2:30 pm CT on Monday, August 29, 2016. Mr. Kirby will report to Oscar Munoz, the Company’s Chief Executive Officer, who served as the Company’s President prior to Mr. Kirby’s appointment. Mr. Kirby, age 49, previously served since December 2013 as President of American Airlines Group and American Airlines, Inc. Mr. Kirby also previously served as President of US Airways from October 2006 to December 2013. Mr. Kirby held significant other leadership roles at US Airways and at America West prior to the 2005 merger of those carriers, including Executive Vice President—Sales and Marketing (2001 to 2006); Senior Vice President, e-business (2000 to 2001); Vice President, Revenue Management (1998 to 2000); Vice President, Planning (1997 to 1998); and Senior Director, Scheduling and Planning (1995 to 1998). Prior to joining America West, Mr. Kirby worked for American Airlines Decision Technologies and at the Pentagon. Mr. Kirby earned a masters of science degree from George Washington University and a bachelor’s degree from the U.S. Air Force Academy. There are no arrangements or understandings between Mr. Kirby and any other person pursuant to which he was appointed as an officer of the Company. Mr. Kirby does not have any family relationship with any director or other executive officer of the Company, and there are no transactions in which Mr. Kirby has an interest requiring disclosure under Item 404(a) of Regulation S-K. The Compensation Committee of the Board of Directors of the Company (the “Compensation Committee”) approved the terms of Mr. Kirby’s compensation. Under such terms, the Company will provide Mr. Kirby an annual base salary of $875,000, a 2016 annual target incentive compensation equal to 125% of his pro-rated 2016 base salary, and a 2016 long-term incentive opportunity equal to 625% of his pro-rated 2016 base salary. The 2016 long-term incentive awards consist of (i) restricted shares, (ii) performance-based RSUs (with a return on invested capital metric), and (iii) performance-based RSUs (with a relative pre-tax margin metric). In addition, Mr. Kirby received a sign-on transition award consisting of premium-priced stock options (with an exercise price that is 25% higher than the closing stock price on the date of grant) with a total Black-Scholes grant value of $5 million. The options are split into two tranches as follows: (i) $2 million of the grant date value consists of stock options with a seven year term that vest in 1/3 increments on the first, second and third anniversary of the grant date; and (ii) $3 million of the grant date value consists of stock options with a ten year term that vest in 1/3 increments on the fourth, fifth and sixth anniversary of the grant date. Mr. Kirby has been designated as an eligible participant in the United Continental Holdings, Inc. Executive Severance Plan (the “Plan”). The Plan provides participants with certain payments and benefits upon termination of employment. In the event he is terminated by the Company without “cause” or he terminates for “good reason” (as defined in the Plan), Mr. Kirby will receive a cash severance payment equal to two times the sum of his annual base salary and target annual incentive compensation opportunity as in effect immediately prior to termination and continued coverage pursuant to the Company’s or an affiliate’s welfare benefit plans for 24 months following termination. The Plan provides that all termination payments and obligations of the Company or its affiliates are subject to receipt of a signed and irrevocable release agreement relating to certain legal claims and liabilities against the Company or its affiliates. Under the terms of the Company’s restricted share agreement, Mr. Kirby will be subject to post-termination restrictive covenants during a limited time period relating to solicitation or hiring of any employee of the Company or its affiliates and certain non-competition obligations (except upon involuntary or good reason termination). In addition, he will be bound by obligations of confidentiality and non-disparagement for an indefinite duration with respect to the Company and its affiliates."
0001104659-17-025203,"(e) On April 21, 2017, United Continental Holdings, Inc. (“UCH”) and United Airlines, Inc. (collectively, the “ Companies ”) entered into the Second Amendment to Employment Agreement (the “Second Amendment ”) with Oscar Munoz, the Companies’ Chief Executive Officer, amending his Employment Agreement with the Companies dated December 31, 2015, as first amended as of April 19, 2016. The Second Amendment, which was initiated by Mr. Munoz, removes the provisions in the Employment Agreement related to the future appointment of Mr. Munoz as Chairman of the Board of Directors of UCH (the “Board”), leaving future determinations related to the Chairman position to the discretion of the Board. As a result, the Second Amendment also modifies the definition of “Good Reason” such that the appointment of a Chairman of the Board other than Mr. Munoz, Robert A. Milton or Henry L. Meyer III would not constitute “Good Reason.” The foregoing summary description of the Second Amendment does not purport to be complete and is subject to, and qualified in its entirety by, the full text of the Second Amendment, which is filed as Exhibit 10.1 hereto and incorporated by reference herein."
0001181431-09-003017,"(b), (c) On January 14, 2009, Apple Inc. (""Apple"") issued a media advisory announcing Chief Executive Officer Steve Jobs's medical leave of absence until the end of June. As CEO, Mr. Jobs plans to remain involved in major strategic decisions during this leave of absence, and Chief Operating Officer Tim Cook will be responsible for Apple's day to day operations. The media advisory is attached hereto as Exhibit 99.1 and is incorporated by reference herein in its entirety. In satisfaction of the disclosure required pursuant to Sections 401(b) and 401(e) of Regulation S-K, the section of the Company's 2009 Proxy Statement, filed with the SEC on January 9, 2009, entitled ""Executive Officers"" is incorporated by reference herein. With respect to the disclosure required pursuant to Section 401(d) of Regulation S-K, there are no family relationships between Mr. Cook and any director or executive officer of Apple. With respect to Section 404(a) of Regulation S-K, there are no relationships or related transactions between Mr. Cook and Apple that would be required to be reported. Signature(s) Pursuant to the requirements of the Securities Exchange Act of 1934, the registrant has duly caused this report to be signed on its behalf by the undersigned hereunto duly authorized. APPLE INC. Date: January 16, 2009 By: /s/ Daniel Cooperman Daniel Cooperman Senior Vice President, General Counsel and Secretary Exhibit Index Exhibit No. Description EX-99.1 Media Advisory by Apple Inc. dated January 14, 2009"
0001181431-09-037492,"(b) Dr. Eric Schmidt resigned from the Board of Directors of Apple Inc. effective July 31, 2009."
0001193125-10-044765,"(e) Compensatory Arrangements of Certain Officers. 2003 Employee Stock Plan Amendments The Board of Directors (the “Board”) of Apple Inc. (the “Company”) previously approved, subject to shareholder approval, amendments to the Company’s 2003 Employee Stock Plan (the “2003 Plan”) that would (1) increase the number of shares of the Company’s common stock that may be delivered pursuant to awards granted under the 2003 Plan by an additional 36,000,000 shares, and (2) extend the Company’s authority to grant awards under the 2003 Plan intended to qualify as “performance-based awards” within the meaning of Section 162(m) of the U.S. Internal Revenue Code through the 2015 annual meeting of shareholders. According to the preliminary results from the Company’s Annual Meeting of Shareholders held on February 25, 2010 (the “Annual Meeting”), the Company’s shareholders approved these amendments to the 2003 Plan. The foregoing description of the amendments is qualified in its entirety by reference to the text of the amended version of the 2003 Plan, which is filed as Exhibit 10.1 hereto and incorporated herein by reference. 1997 Director Stock Plan Amendments The Board previously approved, subject to shareholder approval, amendments to the Company’s 1997 Director Stock Option Plan, which has been renamed the 1997 Director Stock Plan (the “Director Plan”), that would (1) permit the Company to grant awards of restricted stock units under the Director Plan, (2) effective for grants on or after February 25, 2010, replace the automatic initial and annual grants of stock options under the Director Plan with automatic initial and annual grants of restricted stock units (“RSUs”) under the Director Plan, (3) modify the Director Plan’s existing share-counting provision so that RSUs granted are deducted from the shares available for grant under the Director Plan utilizing a factor of two times the number of RSUs granted, and (4) extend the term of the Director Plan to November 9, 2019. According to the preliminary results from the Annual Meeting, the Company’s shareholders approved these amendments to the Director Plan. The foregoing description of the amendments is qualified in its entirety by the text of the amended version of the Director Plan, which is filed as Exhibit 10.2 hereto and incorporated herein by reference."
0001181431-10-016054,"(e) Compensatory Arrangements of Certain Officers. On March 10, 2010, the Compensation Committee of the Board of Directors of Apple Inc. (the ""Company"") unanimously approved a recommendation by Steve Jobs, the Company's CEO, to award Timothy D. Cook, the Company's Chief Operating Officer, a one-time discretionary bonus of $5,000,000 and 75,000 restricted stock units in recognition of his outstanding performance in assuming the day-to-day operations of the Company for the period in fiscal 2009 during which Mr. Jobs was on medical leave of absence. Fifty percent of the restricted stock units are scheduled to vest on each of March 10, 2011 and March 10, 2012, subject to Mr. Cook's continued employment with the Company through that date."
0001181431-10-056327,"(d) On November 16, 2010, the Board of Directors (the ""Board"") of Apple Inc. (the ""Company"") appointed Dr. Ronald D. Sugar to the Board to fill an existing vacancy. The Board also appointed Dr. Sugar as the Chair of its Audit and Finance Committee. As a non-employee director, Dr. Sugar is entitled to the Company's standard $50,000 annual retainer for Board services, and an additional $25,000 annual retainer for his service as the Chair of the Audit and Finance Committee, each paid in quarterly installments. Dr. Sugar will also participate in the Company's 1997 Director Stock Plan (the ""Director Plan"") and, upon his appointment, he received an automatic grant of 185 restricted stock units under and in accordance with the Director Plan. In connection with the appointment, the Company and Dr. Sugar entered into the Company's standard director indemnification agreement with Dr. Sugar, the form of which was filed with the Securities and Exchange Commission as Exhibit 10.2 to the Company's Quarterly Report on Form 10-Q for the quarterly period ended June 27, 2009. There are no transactions between Dr. Sugar and the Company that would be reportable under Item 404(a) of Regulation S-K."
0001181431-11-047179,"(b), (c), (d), (e) On August 24, 2011: - Steve Jobs resigned as Chief Executive Officer of Apple Inc. (""Apple""). Mr. Jobs will continue to serve as an employee; - The Board of Directors (the ""Board"") appointed Mr. Jobs as Chairman of the Board; - The Board promoted Chief Operating Officer Timothy D. Cook to Chief Executive Officer; and - The Board appointed Mr. Cook to the Board to fill an existing vacancy. In connection with Mr. Cook's appointment as Chief Executive Officer, the Board awarded Mr. Cook 1,000,000 restricted stock units. Fifty percent of the restricted stock units are scheduled to vest on each of August 24, 2016 and August 24, 2021, subject to Mr. Cook's continued employment with Apple through each such date. In satisfaction of the disclosure required by Items 401(b) and 401(e) of Regulation S-K, the section of Apple's 2011 Proxy Statement, filed with the Securities and Exchange Commission on January 7, 2011, entitled ""Directors, Executive Offices and Corporate Governance--Executive Officers"" is incorporated by reference herein. Mr. Cook brings to the Board extensive executive leadership experience in the technology industry, including the management of worldwide operations, sales, service and support. With respect to the disclosure required by Item 401(d) of Regulation S-K, there are no family relationships between Mr. Cook and any director or executive officer of Apple. With respect to Item 404(a) of Regulation S-K, there are no relationships or related transactions between Mr. Cook and Apple that would be required to be reported."
0001181431-11-056354,"(d) On November 15, 2011, the Board of Directors (the ""Board"") of Apple Inc. (the ""Company"") appointed Robert A. Iger to the Board. Mr. Iger will serve on the Audit and Finance Committee of the Board. As a non-employee director, Mr. Iger will receive the standard $50,000 annual retainer for his service on the Board, paid in quarterly installments. Mr. Iger will also participate in the Company's 1997 Director Stock Plan (the ""Director Plan""), which was filed with the Securities and Exchange Commission (the ""SEC"") as Exhibit 10.2 to the Company's Current Report on Form 8-K on March 1, 2010. Upon his appointment, Mr. Iger received an automatic initial grant of 142 restricted stock units under and in accordance with the Director Plan. In connection with his appointment, the Company and Mr. Iger will enter into the Company's standard director indemnification agreement, the form of which was filed with the SEC as Exhibit 10.2 to the Company's Quarterly Report on Form 10-Q for the quarterly period ended June 27, 2009. There are no transactions between Mr. Iger and the Company that would be required to be reported under Item 404(a) of Regulation S-K."
0001181431-12-032458,"(e) Compensatory Arrangements with Certain Officers. On May 24, 2012, the Compensation Committee (the ""Committee"") of the Board of Directors of Apple Inc. (the ""Company"") approved amendments to each outstanding and unvested restricted stock unit award granted by the Company to its employees (other than Timothy D. Cook, the Company's Chief Executive Officer). The amendments provide that if the Company pays an ordinary cash dividend on its common stock, each award will be credited with an amount equal to the per-share cash dividend paid by the Company, multiplied by the total number of restricted stock units subject to the award that are outstanding immediately prior to the record date for such dividend. The amounts that are credited to each award are referred to as ""dividend equivalents."" Any dividend equivalents credited to an award will be subject to the same vesting, payment and other terms and conditions as the unvested restricted stock units to which the dividend equivalents relate. Depending on the domicile of the employee, accumulated dividend equivalents will either be paid in cash or used to offset employee taxes due upon vesting of the restricted stock units. The Committee determined these amendments were appropriate in light of the Company's announcement on March 19, 2012 that it intends to commence paying ordinary cash dividends of $2.65 per share to its shareholders on a quarterly basis sometime during the fourth quarter of its 2012 fiscal year. As restricted stock units are not outstanding shares of common stock and thus would not otherwise be entitled to participate in such dividends, the crediting of dividend equivalents is intended to preserve the equity-based incentives intended by the Company when the awards were granted and to treat the award holders consistently with shareholders. At Mr. Cook's request, none of his restricted stock units will participate in dividend equivalents. Assuming a quarterly dividend of $2.65 per share over the vesting periods of his 1.125 million outstanding restricted stock units, Mr. Cook will forego approximately $75 million in dividend equivalent value."
0001181431-12-038301,"(b) Betsy Rafael, Apple Inc.'s Vice President, Corporate Controller and Principal Accounting Officer, will retire from Apple effective October 19, 2012."
0001193125-13-267629,"(e) Compensatory Arrangements of Certain Officers. Effective June 21, 2013, the Compensation Committee (the “Committee”) of the Board of Directors of Apple Inc. (“we,” “Apple,” or the “Company”) approved the amendment of the restricted stock units awarded on August 24, 2011 to Timothy D. Cook, the Company’s Chief Executive Officer. The amendment does not change the original grant date fair value of Mr. Cook’s award as originally reported in the Company’s Proxy Statement filed with the SEC on January 9, 2012. It does, however, align Mr. Cook’s potential realizable compensation from the award with Company performance, and reflects the Committee’s intent to have a portion of future equity awards be performance-based for the Company’s executive officers, and for Mr. Cook to lead by example. Move to Performance-Based Equity Apple continues to enhance its corporate governance in a variety of ways. Since 2011, we have adopted majority voting for directors, advocated the elimination of blank check preferred stock, and implemented robust stock ownership guidelines for our CEO and the other named executive officers and directors. In each of the past three years, our shareholders have decisively approved the say-on-pay proposals for our executive compensation program. In outreach discussions this year with many of our largest shareholders, we heard that they believe it is appropriate to attach performance criteria to a portion of our future executive stock awards that have been entirely time-based (i.e., vesting for continued service) in the past. We agree and, beginning today, the Company will include a performance element in new stock awards to our executive officers. CEO Leadership by Example Mr. Cook is leading this initiative by example and has the full support of the Board of Directors. He asked the Committee to apply a performance metric to his outstanding 2011 CEO equity award as well as any potential future awards. After careful deliberation, the Committee has approved a modification to Mr. Cook’s 2011 award. Under the adopted modification, Mr. Cook will forfeit a portion of the 2011 CEO equity award, which was previously entirely time-based, if the Company does not achieve certain performance criteria. While the Committee generally believes that a performance-based award should have both a downside and an upside component, at Mr. Cook’s request, the modification does not contain an upside opportunity for overachievement of these criteria. As a result of implementing a modification with only downside risk, the Committee has determined that a portion of the original grant should vest earlier than originally scheduled. This modification will not change the award’s original value for accounting expense purposes. Performance Measurement and Shareholder Alignment After careful deliberation and consultation with shareholders and compensation experts, the Committee has concluded that relative “total shareholder return” (“TSR”) should be most relevant to Apple shareholders in evaluating Apple’s performance against that of other companies.* 2011 CEO Equity Award Modification As a result of the adoption of a performance component and regular performance measurements, and the absence of a performance multiplier, the Committee has modified Mr. Cook’s 2011 award of one million RSUs to vest as follows: 100,000 RSUs remain scheduled to vest on August 24, 2016; 100,000 RSUs remain scheduled to vest on August 24, 2021; the balance of 800,000 RSUs is separated into ten equal tranches of 80,000 RSUs each that vest over the ten-year life of the award. Details are explained below and illustrated in Table 1. The Committee considered what percentage of Mr. Cook’s unvested one-year RSU tranches to place at risk under the new performance criteria. Because Mr. Cook faces only downside risk from the modification, the Committee believed that less than 50% should be placed at risk. Mr. Cook, however, expressed a strong desire to set a leadership example in the area of CEO compensation and governance and requested a larger at-risk percentage. Accordingly, the Committee is placing 50% of the RSUs at risk in each future annual performance-based tranche. The relative TSR criteria will be applied to each 80,000 RSU tranche scheduled to vest on each anniversary of the original August 24, 2011 grant date, and will compare Apple’s TSR to the TSR of the companies in the S&P 500 using public data derived from Standard and Poor’s. If Apple’s performance is within the top third of that group, the RSUs in the tranche for that year will vest in full. If its performance is in the middle third, the RSUs in the tranche for that year will be reduced by 25%, and if its performance is in the bottom third, the RSUs in that tranche will be reduced by 50%. In considering the time frame to measure relative TSR, the Committee determined, after consultation with compensation experts and shareholders, to use a three-year period and to ramp up to this three-year period starting with the tranche vesting in 2014. Therefore, the tranche vesting in August 2014 will be measured against a one-year TSR period. The tranche vesting in August 2015 will use a two-year period. The tranches vesting in 2016 and beyond will use a full three-year period. Because this modification takes place in 2013, partway through the vesting period of the original 2011 grant, the Committee separately considered the treatment of the first two tranches that, if modified earlier, would have vested in August 2012 and August 2013. For the tranche that would have vested in August 2012, the RSUs will vest in full on the modification date. This would have been the result whether the Committee had applied a one-, two- or three-year relative TSR measurement in August 2012. For the tranche vesting in August 2013, the Committee will vest the portion from August 25, 2012 until the modification date on a time basis and will measure the remaining portion of the tranche between the modification date and the August 2013 anniversary against the full year’s relative TSR criteria. Table 1 Modified Award - RSUs Vesting Performance Based Units Original Award - RSUs Vesting Time-Based Units Scheduled to Vest TSR Measurement Period Apple TSR vs. S&P 500 Bottom Third Middle Third Top Third Vesting / Earnout Date Start End 6/21/13 80,000 N/A N/A 0 0 0 (1) 8/24/13 72,877 (2) 8/25/12 8/24/13 0 3,562 7,123 (2) 8/24/14 40,000 8/25/13 8/24/14 0 20,000 40,000 8/24/15 40,000 8/25/13 8/24/15 0 20,000 40,000 8/24/16 500,000 140,000 (3) 8/25/13 8/24/16 0 20,000 40,000 8/24/17 40,000 8/25/14 8/24/17 0 20,000 40,000 8/24/18 40,000 8/25/15 8/24/18 0 20,000 40,000 8/24/19 40,000 8/25/16 8/24/19 0 20,000 40,000 8/24/20 40,000 8/25/17 8/24/20 0 20,000 40,000 8/24/21 500,000 140,000 (4) 8/25/18 8/24/21 0 20,000 40,000 Total 1,000,000 672,877 0 163,562 327,123 (1) The 2012 tranche is vesting on June 21, 2013 based on services provided. (2) As to the 2013 tranche, 65,754 shares correspond to the period from August 25, 2012 to the June 21, 2013 modification date of the award. This portion will vest on August 24, 2013 based on services provided. The remaining 14,246 shares of the 2013 tranche (corresponding to the period from June 21, 2013 through August 24, 2013) are also scheduled to vest on August 24, 2013, but up to 50% of those shares may be forfeited based on relative TSR performance from August 25, 2012 through August 24, 2013. (3) Includes both the 2016 tranche vesting on August 24, 2016 as well as the additional 100,000 RSUs vesting on that date. (4) Includes both the 2021 tranche vesting on August 24, 2021 as well as the additional 100,000 RSUs vesting on that date. * A company’s Total Shareholder Return (TSR) for a period of time is based on the change in its stock price during that period, taking into account any dividends paid during that period, which are assumed to be reinvested in the stock. If the ending value is lower than the beginning value, a negative TSR results and vice versa. The change in value from the beginning to the end of the period is divided by the beginning value. That percentage, whether positive or negative, is compared to the TSR of other companies. The corresponding results inherently align with shareholders’ interests and the measurement process is simple and objective."
0001181431-13-041847,"Effective July 25, 2013, Bob Mansfield, Apple Inc.'s Senior Vice President, Technologies, is no longer on Apple's executive team but will remain at Apple to work on future products."
0001193125-14-084697,"(b),(c) On March 4, 2014, Apple Inc. (the “Company”) announced that Peter Oppenheimer, the Company’s Senior Vice President, Chief Financial Officer, will retire at the end of September and Luca Maestri, the Company’s Vice President of Finance and Corporate Controller, will be appointed as CFO and will transition into that role in June. (e) 2014 Employee Stock Plan The Board of Directors (the “Board”) of the Company previously adopted, subject to shareholder approval, the Company’s 2014 Employee Stock Plan (the “2014 Plan”). The Company’s shareholders approved the 2014 Plan at the Annual Meeting of Shareholders held on February 28, 2014 (the “Annual Meeting”). The Company’s grant authority under the Company’s 2003 Employee Stock Plan (the “2003 Plan”) terminated at that time. The 2014 Plan, which became effective upon shareholder approval, permits the granting of stock options, stock appreciation rights, stock grants and restricted stock units, as well as cash bonus awards. Employees (including executive officers and directors who are also the Company’s employees) and consultants of the Company and any subsidiary of the Company are eligible to participate in the 2014 Plan. The maximum number of shares that may be issued or transferred pursuant to awards under the 2014 Plan will equal: • 55 million shares, plus • the number of shares available for new award grants under the 2003 Plan on the date of the Annual Meeting (determined before giving effect to the termination of the authority to grant new awards under the 2003 Plan), plus • the number of any shares subject to stock options granted under the 2003 Plan and outstanding as of the date of the Annual Meeting which expire, or for any reason are cancelled or terminated, after that date without being exercised, plus • the number of any shares subject to restricted stock unit awards granted under the 2003 Plan that are outstanding and unvested as of the date of the Annual Meeting which are forfeited, terminated, cancelled, or otherwise reacquired after that date without having become vested or that are exchanged or withheld by the Company or one of its subsidiaries after that date to satisfy the tax withholding obligations related to the award (after giving effect to the 2:1 premium share counting ratio described below). The maximum number of shares that may be issued or transferred pursuant to awards under the 2014 Plan as a result of applying the share limit formula described above will not exceed 109,477,000 shares, which is the sum of (i) the 55 million shares referred to above, plus (ii) the 16,608,000 shares available for new award grants under the 2003 Plan on November 11, 2013, plus (iii) the 3,361,000 shares subject to stock options previously granted and outstanding under the 2003 Plan as of November 11, 2013, plus (iv) two (2) times the 17,254,000 shares subject to restricted stock units previously granted and outstanding under the 2003 Plan as of November 11, 2013. Shares issued with respect to awards granted under the 2014 Plan other than stock options or stock appreciation rights are counted against the 2014 Plan’s aggregate share limit as two shares for every one share actually issued in connection with the award. The 2014 Plan also includes other rules for counting shares against the share limits. The foregoing brief description is qualified in its entirety by the text of the 2014 Plan, a copy of which is filed as Exhibit 10.1 hereto and incorporated herein by reference. Grants under the 2014 Plan will be made pursuant to the Company’s Restricted Stock Unit Award Agreement and the Company’s Performance Award Agreement, forms of which are filed as Exhibits 10.2 and 10.3 hereto and incorporated herein by reference."
0001181431-14-021923,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 Form 8-K CURRENT REPORT Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 Date of Report (Date of earliest event reported): 05/29/2014 APPLE INC. (Exact name of registrant as specified in its charter) Commission File Number: 000-10030 CA 94-2404110 (State or other jurisdiction of (IRS Employer incorporation) Identification No.) 1 Infinite Loop, Cupertino, CA 95014 (Address of principal executive offices, including zip code) (408) 996-1010 (Registrant’s telephone number, including area code) (Former name or former address, if changed since last report) Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions: [ ] Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) [ ] Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) [ ] Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) [ ] Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) (b), (c), (e) As part of Apple Inc.'s previously announced CFO transition plan, effective May 29, 2014, Apple appointed Luca Maestri, 50, as Apple's Senior Vice President, Chief Financial Officer. Mr. Maestri will continue to serve as Apple's Principal Accounting Officer. Mr. Maestri succeeds Peter Oppenheimer in the role of CFO, and Mr. Oppenheimer will transition the balance of his responsibilities over the summer until his planned retirement at the end of September. In connection with Mr. Maestri's appointment as CFO, he will receive an annual salary of $1 million and will be eligible to participate in Apple's performance-based cash bonus program for executive officers on a pro rata basis for fiscal 2014. Also in connection with his appointment, the Compensation Committee of Apple's Board of Directors awarded Mr. Maestri 6,337 restricted stock units under Apple's 2014 Employee Stock Plan. 1,137 restricted stock units are scheduled to vest on October 1, 2015 and 1,107 restricted stock units are scheduled to vest on October 1, 2016. In each case, between 0% and 200% of the scheduled number of units may vest, with the percentage determined based on Apple's relative total shareholder return from May 29, 2014 through September 26, 2015 and from May 29, 2014 through September 24, 2016, respectively. The award also includes 4,093 restricted stock units scheduled to vest in equal installments on each of May 29, 2016, May 29, 2017, and May 29, 2018, subject to continued employment through the applicable vesting dates. Apple has previously reported the information required by Items 401(b) and (e) of Regulation S-K in the section of Apple's Quarterly Report on Form 10-Q for the fiscal quarter ended March 30, 2013, filed with the Securities and Exchange Commission on April 24, 2013, entitled ""Part II-Item 5. Other Information."" With respect to the disclosure required pursuant to Item 401(d) of Regulation S-K, there are no family relationships between Mr. Maestri and any director or executive officer of Apple. With respect to Item 404(a) of Regulation S-K, there are no transactions between Mr. Maestri and Apple that would be required to be disclosed."
0001193125-14-271698,"(b), (d) On July 15, 2014, the Board of Directors of Apple Inc. (“Apple”) appointed Susan L. Wagner to the Board concurrently with the retirement of William V. Campbell. Mr. Campbell served on the Audit and Finance Committee and the Nominating and Corporate Governance Committee of the Board. As a non-employee director, Ms. Wagner receives a $50,000 annual retainer for her service on the Board, paid in quarterly installments, and participates in Apple’s 1997 Director Stock Plan, as amended (the “Director Plan”), which was filed with the Securities and Exchange Commission on January 28, 2014 as Exhibit 10.3 to Apple’s Quarterly Report on Form 10-Q for the quarterly period ended December 28, 2013. Upon her appointment, Ms. Wagner received an automatic initial grant of 1,646 restricted stock units under the Director Plan. In connection with her appointment, Apple and Ms. Wagner will enter into Apple’s standard indemnification agreement for directors, the form of which was filed with the SEC on July 22, 2009 as Exhibit 10.2 to Apple’s Quarterly Report on Form 10-Q for the quarterly period ended June 27, 2009. There are no transactions between Ms. Wagner and Apple that would be required to be reported under Item 404(a) of Regulation S-K."
0001193125-15-336615,"(d) On October 1, 2015, the Board of Directors of Apple Inc. appointed James A. Bell to Apple’s Board. As a non-employee director, Mr. Bell receives a $100,000 annual retainer for his service on the Board, paid in quarterly installments, and participates in Apple’s 1997 Director Stock Plan, as amended, which was filed with the Securities and Exchange Commission on January 28, 2014 as Exhibit 10.3 to Apple’s Quarterly Report on Form 10-Q for the quarterly period ended December 28, 2013. Upon his appointment, Mr. Bell received an automatic initial grant of 1,007 restricted stock units under the Director Plan. In connection with his appointment, Apple and Mr. Bell will enter into Apple’s standard indemnification agreement for directors, the form of which was filed with the SEC on July 22, 2009 as Exhibit 10.2 to Apple’s Quarterly Report on Form 10-Q for the quarterly period ended June 27, 2009. There are no transactions between Apple and Mr. Bell that would be required to be reported under Item 404(a) of Regulation S-K."
0001193125-15-406279,"(d) On December 16, 2015, Apple Inc. appointed Jeff Williams, Senior Vice President, Operations, to the role of Chief Operating Officer. With respect to the disclosure required pursuant to Item 401(d) of Regulation S-K, there are no family relationships between Mr. Williams and any director or executive officer of Apple. With respect to the disclosure required pursuant to Item 404(a) of Regulation S-K, there are no transactions between Apple and Mr. Williams that would be required to be reported."
0001193125-16-488223,"(e) The Board of Directors of Apple Inc. previously adopted, subject to shareholder approval, an amendment and restatement of Apple’s 2014 Employee Stock Plan (the “2014 Plan”). Apple’s shareholders approved the amended and restated 2014 Plan at the Annual Meeting of Shareholders held on February 26, 2016 (the “Annual Meeting”). The amended and restated 2014 Plan, which became effective upon shareholder approval, increased the maximum amount payable as a cash bonus award that may qualify as performance-based compensation under Section 162(m) of the Internal Revenue Code to $30 million per person, per fiscal year. The foregoing brief description is qualified in its entirety by the text of the 2014 Plan, a copy of which is filed as Exhibit 10.1 hereto and incorporated herein by reference."
0001193125-17-308859,"(b) On October 6, 2017, Apple Inc. announced that Bruce Sewell, Apple’s Senior Vice President, General Counsel and Secretary, would retire from the company, effective at the end of the year. Mr. Sewell will be succeeded by Katherine Adams, who will assume the role of General Counsel and Senior Vice President of the company, effective November 13, 2017."
0000320193-19-000026,"(b) On February 5, 2019, Apple Inc. announced that Angela Ahrendts, Senior Vice President, Retail, would depart Apple, effective April 15, 2019. Ms. Ahrendts is succeeded by Deirdre O’Brien, who assumed the role of Senior Vice President, Retail + People, effective February 5, 2019."
0000320193-19-000093,"(b) On September 10, 2019, Bob Iger resigned from the Board of Directors of Apple Inc."
0001193125-21-001982,"On December 29, 2020, the Board of Directors (the “Board”) of Apple Inc. appointed Ms. Monica Lozano to Apple’s Board, effective as of January 4, 2021. Ms. Lozano will serve on the Audit and Finance Committee of the Board. As a non-employee director, Ms. Lozano will receive a $100,000 annual retainer for her service on the Board, paid in quarterly installments, and participate in the Apple Inc. Non-Employee Director Stock Plan, as amended and restated as of February 13, 2018 (the “Non-Employee Director Plan”), which was filed with the Securities and Exchange Commission (the “SEC”) on February 14, 2018 as Exhibit 10.1 to Apple’s Current Report on Form 8-K. On the effective day of her appointment, Ms. Lozano received an automatic initial grant of 281 restricted stock units under the Non-Employee Director Plan. In connection with her appointment, Apple and Ms. Lozano will enter into Apple’s standard indemnification agreement for directors, the form of which was filed with the SEC on July 22, 2009 as Exhibit 10.2 to Apple’s Quarterly Report on Form 10-Q for the quarterly period ended June 27, 2009. There are no transactions between Apple and Ms. Lozano that would be required to be reported under Item 404(a) of Regulation S-K."
