parent_cik,legal_name,FRN,start,end,type,usf,holding,evidence_named,end_before_start,events_in_sample,event_span
732712,Pueblo MSA Limited Partnership,0001609445,2001-07-01,2001-07-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
20520,FRONTIER COMMUNICATIONS OF IOWA LLC,0002574960,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Minnesota, Inc.",0002624641,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Alabama, LLC",0004243952,1997-01-01,2018-01-01,Incumbent Local Exchange Carrier,No,Frontier Commnunications Corporation,,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of the South, LLC",0005061064,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Georgia, LLC",0005450093,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Lamar County, LLC",0005060439,1997-01-01,2018-01-01,Incumbent Local Exchange Carrier,No,Frontier Commnunications Corporation,,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Fairmount, LLC",0005061338,1997-01-01,2018-01-01,Incumbent Local Exchange Carrier,No,Frontier Commnunications Corporation,,,4,2022-02-24..2024-06-10
20520,Frontier Communications of Mississippi LLC,0015453079,1997-01-01,open,Incumbent Local Exchange Carrier,No,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
101830,"Sprint/United Telephone Company of New Jersey, Inc.",0004146585,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/United Tel. Co. of Pennsylvania,0004140422,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
18926,"CenturyTel of Minnesota, Inc",0002641967,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Postville, Inc.",0003738093,1997-01-01,open,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Southern Wisconsin, Inc.",0004547014,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732717,"Southwestern Bell Telephone Company, LLC",0003801651,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
20520,"Frontier Communications of AuSable Valley, Inc.",0003455896,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Breezewood, LLC",0003273240,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Canton, LLC",0003223385,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Michigan, Inc.",0006148175,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,FRONTIER COMMUNICATIONS OF INDIANA LLC,0004163317,1997-01-01,open,Incumbent Local Exchange Carrier,No,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of DePue, Inc.",0002861979,1997-01-01,open,Incumbent Local Exchange Carrier,No,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Pennsylvania, LLC",0003271236,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of New York, Inc.",0004132338,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Illinois, Inc.",0005060371,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Lakeside, Inc.",0004156162,1997-01-01,open,Incumbent Local Exchange Carrier,No,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Lakewood, LLC",0005060413,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,FRONTIER COMMUNICATIONS - MIDLAND INC,0005040266,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Mondovi, LLC",0004966362,1997-01-01,2018-01-01,Incumbent Local Exchange Carrier,No,Frontier Commnunications Corporation,,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Mt. Pulaski, Inc.",0005060496,1997-01-01,open,Incumbent Local Exchange Carrier,No,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Orion, Inc.",0005060512,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Oswayo River, LLC",0003222221,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,FRONTIER COMMUNICATIONS - PRAIRIE INC,0003765823,1997-01-01,open,Incumbent Local Exchange Carrier,No,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,FRONTIER COMMUNICATIONS -SCHUYLER INC,0005060314,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Seneca Gorham, Inc.",0003399680,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of St. Croix, LLC",0004150157,1997-01-01,2018-01-01,Incumbent Local Exchange Carrier,No,Frontier Commnunications Corporation,,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Sylvan Lake, Inc.",0005060587,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,FRONTIER COMMUNICATIONS OF THORNTOWN LLC,0005061114,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Wisconsin, LLC",0002718971,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of Viroqua, LLC",0005234760,1997-01-01,2018-01-01,Incumbent Local Exchange Carrier,No,Frontier Commnunications Corporation,,,4,2022-02-24..2024-06-10
732717,"Teleport Communications America, LLC",0004274114,1997-01-01,open,CAP/LEC,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
1632127,"Bluffton Telephone Company, LLC",0005058151,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Cable One, Inc.",,,2,2019-03-01..2019-08-08
732717,"AT&T Enterprises, LLC",0005937974,1997-01-01,open,Interexchange Carrier (IXC),Yes,"AT&T, Inc.",YES,,24,2008-05-23..2024-04-14
732717,Georgia RSA #8 Partnership,0001838069,1997-01-01,2014-03-20,Cellular/PCS/SMR,No,AT&T Inc,,,24,2008-05-23..2024-04-14
18926,"CenturyTel of Washington, Inc",0001584697,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Inter-Island, Inc.",0001582543,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Oregon, Inc.",0004312260,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of  Eastern Oregon, Inc.",0001562099,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Montana, Inc.",0001566041,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Wyoming, Inc.",0001630243,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Eagle, Inc.",0001617265,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732712,"Verizon Long Distance, LLC",0004342598,1997-01-01,2021-09-30,Toll Reseller,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,"Verizon - Delaware, Inc.",0003271798,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,"Verizon - Pennsylvania, Inc.",0003273505,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,"Verizon- Washington, D.C. Inc.",0002109213,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,"Verizon - Maryland, Inc.",0002166825,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,"Verizon-Virginia, Inc.",0002073203,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,"Verizon - New Jersey, Inc.",0003316692,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732717,Pacific Bell Wireless,0001672997,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
101830,Sprint/Carolina Telephone & Telegraph Co.,0001952340,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/Central Telephone Company of Virginia,0004183919,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/Central Telephone Company - North Carolina,0002382570,2001-07-01,2002-05-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/United Tel. Co. of the Carolinas,0001777036,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,"Sprint/United Tel. - Southeast, Inc.",0001770122,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
732712,Hamilton Cellular Telephone Company,0005005509,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,NewPar,0003010816,1997-01-01,2003-02-03,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Muskegon Cellular Partnership,0005005517,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
18926,CenturyTel Telecommunications,0003749520,1997-01-01,1997-01-01,Operator Service Provider (OSP),No,"CenturyTel, Inc.",,,5,2013-12-27..2022-03-15
18926,"USLD Communications, Inc.",0007676802,1997-01-01,2004-09-20,Operator Service Provider (OSP),No,Qwest Services Corp.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Cowiche, Inc.",0005761309,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732712,Verizon Wireless Messaging Services,0003295904,1997-01-01,2003-04-01,Paging & Messaging,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,California RSA No. 4 Limited Partnership,0001838671,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Tuscaloosa Cellular Partnership,0001573104,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Gadsden Cell Tel. Co. Partnership,0001573039,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"GTE Mobilnet of the South, Inc.",0001843887,1997-01-01,2001-03-29,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Virginia Cellular Limited Partnership,,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,New Mexico RSA 5 Limited Partnership,0001838713,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Iowa RSA No. 4 Limited Partnership,0001837285,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Virginia RSA 5 Limited Partnership,0001837210,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Kentucky RSA No. 1 Partnership,0001836709,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Knoxville Cellular Telephone Company,0002149292,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"GTE Mobilnet of the Southwest, Inc.",0001843861,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Fresno MSA Limited Partnership,0001842954,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"GTE Mobilnet of Florence, Alabama, Inc.",0001573518,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Southern Indiana RSA Limited Partnership,0001837269,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,New Mexico RSA 6 - 1 Limited Partnership,0001838655,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Rockford MSA Limited Partnership,0001840537,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,New Mexico RSA 3 Limited Partnership - Consolidated,0001838697,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Illinois RSA 1 Limited Partnership,0001837111,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Iowa RSA No. 5 Limited Partnership,0001837301,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of California Limited Partnership,0003579380,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of South Texas Limited Partnership,0003579406,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"GTE Mobilnet of Houston, Inc.",0003579638,1997-01-01,2002-04-03,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Santa Barbara Limited Partnership,0003577624,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Fayetteville Cellular Telephone Limited Partnership,0001945492,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Fort Wayne Limited Partnership,0003577608,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Austin Limited Partnership,,1997-01-01,2000-09-08,Cellular/PCS/SMR,No,Verizon Wireless,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Texas RSA #21,0003293982,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Texas RSA #17 Limited Partnership,0003293941,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Texas RSA #16 Limited Partnership,,1997-01-01,2000-09-08,Cellular/PCS/SMR,No,Verizon Wireless,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Indiana Limited Partnership,0003579364,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Indiana RSA #3 Limited Partnership,0001640697,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Texas RSA #11 Limited Partnership,,1997-01-01,2000-09-08,Cellular/PCS/SMR,No,Verizon Wireless,,,10,2008-06-27..2024-02-06
732712,Danville Cellular Telephone Company Limited Partnership,0003594868,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Indiana RSA #6 Limited Partnership,0001640705,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Terre Haute Limited Partnership,0003577582,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,GTE Mobilnet of Indiana RSA #1 Limited Partnership,0003293966,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
101830,"Sprint - Florida, Inc",0001825298,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
18926,El Paso County Telephone Company,0008131294,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"Phoenix Network, Inc.",,1997-01-01,2001-12-31,Interexchange Carrier (IXC),No,"Qwest Communications International, Inc.",,,5,2013-12-27..2022-03-15
732712,"Verizon New England, Inc.",0003628971,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
18926,Coastal Utilities Inc.,0004333688,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732712,Portland Cellular Partnership,0003682887,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
18926,"Qwest Wireless, LLC",0001622208,1997-01-01,2009-10-31,Cellular/PCS/SMR,No,Qwest Services Corporation,,,5,2013-12-27..2022-03-15
18926,Qwest Corporation,0003746757,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,Qwest !nterprise America,0001605625,1997-01-01,2005-08-23,CAP/LEC,No,Qwest Services Corporation,,,5,2013-12-27..2022-03-15
18926,"U S WEST Long Distance, Inc.",0004343539,1997-01-01,1997-01-01,Toll Reseller,No,"US West Communications, Inc.",,,5,2013-12-27..2022-03-15
20520,"Frontier Communications of America, Inc.",0005060348,1997-01-01,2003-03-31,Toll Reseller,No,Citizens Communications Company,,,4,2022-02-24..2024-06-10
18926,"CenturyLink Communications, LLC",0018421941,1997-01-01,open,Interexchange Carrier (IXC),Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732717,Centennial Caldwell Cellular Corp.,0008816779,1997-01-01,2010-12-31,Cellular/PCS/SMR,No,"New Cingular Wireless PCS, LLC",,,24,2008-05-23..2024-04-14
732717,Centennial Clairborne Cellular Corp.,0006528715,1997-01-01,2010-12-31,Cellular/PCS/SMR,No,New Cingular Wireless PCS LLC,,,24,2008-05-23..2024-04-14
732717,"Centennial Morehouse Cellular, LLC",0003574142,1997-01-01,2010-12-31,Cellular/PCS/SMR,No,New Cingular Wireless PCS LLC,,,24,2008-05-23..2024-04-14
732717,"Mega-Comm, LLC",0008816753,1997-01-01,2010-08-31,Cellular/PCS/SMR,No,Centennial Communications Corp.,,,24,2008-05-23..2024-04-14
732717,"South Bend Metronet, Inc.",0008816910,1997-01-01,2010-08-31,Cellular/PCS/SMR,No,Centennial Communications Corp.,,,24,2008-05-23..2024-04-14
732712,Chicago SMSA Limited Partnership,0002846962,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Illinois SMSA Limited Partnership,0002840718,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Illinois RSA 6&7 Limited Partnership,0002842334,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Cybertel Cellular Telephone Company,0002805737,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
18926,"Coastal Long Distance Services, Inc.",0004333670,1997-01-01,2014-04-01,Toll Reseller,No,"CenturyLink, Inc.",,,5,2013-12-27..2022-03-15
732712,Sacramento-Valley Limited Partnership,0002972149,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Athens Cellular,0001545474,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Modoc RSA Limited Partnership,0002967776,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Mineral RSA Limited Partnership,0002968576,1997-01-01,2002-04-03,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Airtouch Cellular,0003290673,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Los Angeles SMSA Limited Partnership,0002963817,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
1166691,"MH Lightnet, Inc.",0005040035,1997-01-01,2014-08-18,CAP/LEC,No,COMCAST CABLE COMMUNICATIONS LLC,,,9,2008-01-29..2024-10-04
732712,"TSI Telecommunications Services, Inc.",0004374468,1997-01-01,1997-01-01,Other Toll,No,"Verizon Communications, Inc.",,,10,2008-06-27..2024-02-06
732712,"Verizon Select Services, Inc.",0004997375,1997-01-01,2021-09-30,Toll Reseller,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
101830,"American PCS Communications, LLC",0002147304,1997-01-01,2015-01-12,Cellular/PCS/SMR,No,Softbank Corp,,,9,2009-02-01..2019-06-22
732712,"IOWA RSA #12, LLC",0002701704,1997-01-01,2003-10-15,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732712,"IOWA RSA #3, LLC",0004325361,1997-01-01,2003-10-15,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732717,"Anniston-Westel Company, LLC",0001804525,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732712,"Verizon Wireless Personal Communications, L.P",0001659069,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732717,SBC Long Distance LLC,0003763497,1997-01-01,open,Interexchange Carrier (IXC),Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
101830,Sprint Spectrum LLC,0006693022,1997-01-01,2024-12-31,Cellular/PCS/SMR,No,T MOBILE USA INC,YES,,9,2009-02-01..2019-06-22
1283699,Sprint Spectrum LLC,0006693022,1997-01-01,2024-12-31,Cellular/PCS/SMR,No,T MOBILE USA INC,,,26,2014-01-02..2023-04-28
732712,"Pennsylvania No. 4 Sector 2, LP",0002147494,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Pennsylvania No. 3 Sector 2, LP",0002147551,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
20520,"Citizens Telecommunications Technologies, Inc.",0003735875,1997-01-01,open,Toll Reseller,No,CITIZENS TELEPHONE COMPANY OF KECKSBURG,,,4,2022-02-24..2024-06-10
101830,"Sprint Telephony PCS, L.P.",0002963965,1997-01-01,2015-01-12,Cellular/PCS/SMR,No,Softbank Corp,,,9,2009-02-01..2019-06-22
1166691,"Comcast Telephony Communications of Maryland, Inc.",0003766052,1997-01-01,2003-08-15,CAP/LEC,No,Comcast Corporation,,,9,2008-01-29..2024-10-04
1166691,"Comcast Business Communications, LLC.",0004321725,1997-01-01,open,CAP/LEC,Yes,COMCAST CORPORATION,,,9,2008-01-29..2024-10-04
1166691,"Comcast MH Telephony Communications of Florida, Inc.",0003766029,1997-01-01,1997-01-01,CAP/LEC,No,Comcast Corporation,,,9,2008-01-29..2024-10-04
18926,Malheur Home Telephone Company,0003746765,1997-01-01,2009-12-31,Incumbent Local Exchange Carrier,No,Qwest Services Corporation,,,5,2013-12-27..2022-03-15
1166691,"Comcast ABB Network Solutions, Inc.",0006183099,1997-01-01,2016-08-25,Private Service Provider,No,COMCAST CABLE COMMUNICATIONS LLC,,,9,2008-01-29..2024-10-04
732717,"TCI Telephony Services of Illinois, Inc.",,1997-01-01,1997-01-01,CAP/LEC,No,AT&T Corporation,,,24,2008-05-23..2024-04-14
732717,"BellSouth Personal Communications, LLC",0001835248,1997-01-01,2002-08-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,"BellSouth Carolinas PCS, LLC",0001833854,1997-01-01,2001-07-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
101830,Gulf Coast Wireless Limited Partnership,0001711510,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,,,,9,2009-02-01..2019-06-22
101830,"VIA Wireless, LLC",0001530104,1997-01-01,2001-08-13,Cellular/PCS/SMR,No,,,,9,2009-02-01..2019-06-22
732712,"CommNet Paging, Inc.",,1997-01-01,2002-04-03,Paging & Messaging,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
18926,"CenturyTel of Upper Michigan, Inc.",0006160741,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
1166691,"New Global Telecom, Inc.",0018570895,1997-01-01,2016-09-30,Interconnected VoIP,No,COMCAST CABLE COMMUNICATIONS LLC,,,9,2008-01-29..2024-10-04
732712,"GTE Wireless of the Midwest, Inc.",0003578580,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
